tstamp,country,observation,obs_ord,count
2020-04-10,North America,total_cases,Total Cases,489787
2020-04-10,North America,new_cases,New Cases,25569
2020-04-10,North America,total_deaths,Total Deaths,17275
2020-04-10,North America,new_deaths,NA,1648
2020-04-10,North America,total_recovered,Total Recovered,31134
2020-04-10,North America,active_cases,Active Cases,441378
2020-04-10,North America,serious_critical,Serious Critical,10762
2020-04-10,North America,tot_cases_1m_pop,Total Cases per 1m Population,NA
2020-04-10,North America,deaths_1m_pop,NA,NA
2020-04-10,North America,total_tests,NA,NA
2020-04-10,North America,tests_1m_pop,NA,NA
2020-04-10,North America,continent,NA,NA
2020-04-10,North America,death_rate,Death Rate,3.53
2020-04-10,Europe,total_cases,Total Cases,775200
2020-04-10,Europe,new_cases,New Cases,30284
2020-04-10,Europe,total_deaths,Total Deaths,65453
2020-04-10,Europe,new_deaths,NA,4187
2020-04-10,Europe,total_recovered,Total Recovered,183344
2020-04-10,Europe,active_cases,Active Cases,526403
2020-04-10,Europe,serious_critical,Serious Critical,30359
2020-04-10,Europe,tot_cases_1m_pop,Total Cases per 1m Population,NA
2020-04-10,Europe,deaths_1m_pop,NA,NA
2020-04-10,Europe,total_tests,NA,NA
2020-04-10,Europe,tests_1m_pop,NA,NA
2020-04-10,Europe,continent,NA,NA
2020-04-10,Europe,death_rate,Death Rate,8.44
2020-04-10,Asia,total_cases,Total Cases,262869
2020-04-10,Asia,new_cases,New Cases,9560
2020-04-10,Asia,total_deaths,Total Deaths,9887
2020-04-10,Asia,new_deaths,NA,359
2020-04-10,Asia,total_recovered,Total Recovered,128911
2020-04-10,Asia,active_cases,Active Cases,124071
2020-04-10,Asia,serious_critical,Serious Critical,6444
2020-04-10,Asia,tot_cases_1m_pop,Total Cases per 1m Population,NA
2020-04-10,Asia,deaths_1m_pop,NA,NA
2020-04-10,Asia,total_tests,NA,NA
2020-04-10,Asia,tests_1m_pop,NA,NA
2020-04-10,Asia,continent,NA,NA
2020-04-10,Asia,death_rate,Death Rate,3.76
2020-04-10,South America,total_cases,Total Cases,37666
2020-04-10,South America,new_cases,New Cases,2204
2020-04-10,South America,total_deaths,Total Deaths,1478
2020-04-10,South America,new_deaths,NA,84
2020-04-10,South America,total_recovered,Total Recovered,4064
2020-04-10,South America,active_cases,Active Cases,32124
2020-04-10,South America,serious_critical,Serious Critical,1129
2020-04-10,South America,tot_cases_1m_pop,Total Cases per 1m Population,NA
2020-04-10,South America,deaths_1m_pop,NA,NA
2020-04-10,South America,total_tests,NA,NA
2020-04-10,South America,tests_1m_pop,NA,NA
2020-04-10,South America,continent,NA,NA
2020-04-10,South America,death_rate,Death Rate,3.92
2020-04-10,Oceania,total_cases,Total Cases,7429
2020-04-10,Oceania,new_cases,New Cases,81
2020-04-10,Oceania,total_deaths,Total Deaths,52
2020-04-10,Oceania,new_deaths,NA,1
2020-04-10,Oceania,total_recovered,Total Recovered,3305
2020-04-10,Oceania,active_cases,Active Cases,4072
2020-04-10,Oceania,serious_critical,Serious Critical,85
2020-04-10,Oceania,tot_cases_1m_pop,Total Cases per 1m Population,NA
2020-04-10,Oceania,deaths_1m_pop,NA,NA
2020-04-10,Oceania,total_tests,NA,NA
2020-04-10,Oceania,tests_1m_pop,NA,NA
2020-04-10,Oceania,continent,NA,NA
2020-04-10,Oceania,death_rate,Death Rate,0.7
2020-04-10,Africa,total_cases,Total Cases,12654
2020-04-10,Africa,new_cases,New Cases,668
2020-04-10,Africa,total_deaths,Total Deaths,628
2020-04-10,Africa,new_deaths,NA,52
2020-04-10,Africa,total_recovered,Total Recovered,1698
2020-04-10,Africa,active_cases,Active Cases,10328
2020-04-10,Africa,serious_critical,Serious Critical,154
2020-04-10,Africa,tot_cases_1m_pop,Total Cases per 1m Population,NA
2020-04-10,Africa,deaths_1m_pop,NA,NA
2020-04-10,Africa,total_tests,NA,NA
2020-04-10,Africa,tests_1m_pop,NA,NA
2020-04-10,Africa,continent,NA,NA
2020-04-10,Africa,death_rate,Death Rate,4.96
2020-04-10,,total_cases,Total Cases,721
2020-04-10,,new_cases,New Cases,NA
2020-04-10,,total_deaths,Total Deaths,13
2020-04-10,,new_deaths,NA,NA
2020-04-10,,total_recovered,Total Recovered,619
2020-04-10,,active_cases,Active Cases,89
2020-04-10,,serious_critical,Serious Critical,10
2020-04-10,,tot_cases_1m_pop,Total Cases per 1m Population,NA
2020-04-10,,deaths_1m_pop,NA,NA
2020-04-10,,total_tests,NA,NA
2020-04-10,,tests_1m_pop,NA,NA
2020-04-10,,continent,NA,NA
2020-04-10,,death_rate,Death Rate,1.8
2020-04-10,World,total_cases,Total Cases,NA
2020-04-10,World,new_cases,New Cases,68366
2020-04-10,World,total_deaths,Total Deaths,NA
2020-04-10,World,new_deaths,NA,6331
2020-04-10,World,total_recovered,Total Recovered,353075
2020-04-10,World,active_cases,Active Cases,NA
2020-04-10,World,serious_critical,Serious Critical,48943
2020-04-10,World,tot_cases_1m_pop,Total Cases per 1m Population,204
2020-04-10,World,deaths_1m_pop,NA,12.2
2020-04-10,World,total_tests,NA,NA
2020-04-10,World,tests_1m_pop,NA,NA
2020-04-10,World,continent,NA,NA
2020-04-10,World,death_rate,Death Rate,NA
2020-04-10,United States,total_cases,Total Cases,458445
2020-04-10,United States,new_cases,New Cases,23518
2020-04-10,United States,total_deaths,Total Deaths,16312
2020-04-10,United States,new_deaths,NA,1524
2020-04-10,United States,total_recovered,Total Recovered,24910
2020-04-10,United States,active_cases,Active Cases,417223
2020-04-10,United States,serious_critical,Serious Critical,9813
2020-04-10,United States,tot_cases_1m_pop,Total Cases per 1m Population,1385
2020-04-10,United States,deaths_1m_pop,NA,49
2020-04-10,United States,total_tests,NA,NA
2020-04-10,United States,tests_1m_pop,NA,7035
2020-04-10,United States,continent,NA,NA
2020-04-10,United States,death_rate,Death Rate,3.56
2020-04-10,Spain,total_cases,Total Cases,152446
2020-04-10,Spain,new_cases,New Cases,4226
2020-04-10,Spain,total_deaths,Total Deaths,15238
2020-04-10,Spain,new_deaths,NA,446
2020-04-10,Spain,total_recovered,Total Recovered,52165
2020-04-10,Spain,active_cases,Active Cases,85043
2020-04-10,Spain,serious_critical,Serious Critical,7371
2020-04-10,Spain,tot_cases_1m_pop,Total Cases per 1m Population,3261
2020-04-10,Spain,deaths_1m_pop,NA,326
2020-04-10,Spain,total_tests,NA,355000
2020-04-10,Spain,tests_1m_pop,NA,7593
2020-04-10,Spain,continent,NA,NA
2020-04-10,Spain,death_rate,Death Rate,10
2020-04-10,Italy,total_cases,Total Cases,143626
2020-04-10,Italy,new_cases,New Cases,4204
