tstamp,country,observation,obs_ord,count
2020-03-29,United States,total_cases,Total Cases,119609
2020-03-29,United States,new_cases,New Cases,15483
2020-03-29,United States,total_deaths,Total Deaths,1988
2020-03-29,United States,new_deaths,NA,292
2020-03-29,United States,total_recovered,Total Recovered,3224
2020-03-29,United States,active_cases,Active Cases,114397
2020-03-29,United States,serious_critical,Serious Critical,2666
2020-03-29,United States,tot_cases_1m_pop,Total Cases per 1m Population,361
2020-03-29,United States,deaths_1m_pop,NA,6
2020-03-29,United States,x1stcase,NA,NA
2020-03-29,United States,death_rate,Death Rate,1.66
2020-03-29,Italy,total_cases,Total Cases,92472
2020-03-29,Italy,new_cases,New Cases,5974
2020-03-29,Italy,total_deaths,Total Deaths,10023
2020-03-29,Italy,new_deaths,NA,889
2020-03-29,Italy,total_recovered,Total Recovered,12384
2020-03-29,Italy,active_cases,Active Cases,70065
2020-03-29,Italy,serious_critical,Serious Critical,3856
2020-03-29,Italy,tot_cases_1m_pop,Total Cases per 1m Population,1529
2020-03-29,Italy,deaths_1m_pop,NA,166
2020-03-29,Italy,x1stcase,NA,NA
2020-03-29,Italy,death_rate,Death Rate,10.84
2020-03-29,Spain,total_cases,Total Cases,72248
2020-03-29,Spain,new_cases,New Cases,6529
2020-03-29,Spain,total_deaths,Total Deaths,5812
2020-03-29,Spain,new_deaths,NA,674
2020-03-29,Spain,total_recovered,Total Recovered,12285
2020-03-29,Spain,active_cases,Active Cases,54151
2020-03-29,Spain,serious_critical,Serious Critical,4165
2020-03-29,Spain,tot_cases_1m_pop,Total Cases per 1m Population,1545
2020-03-29,Spain,deaths_1m_pop,NA,124
2020-03-29,Spain,x1stcase,NA,NA
2020-03-29,Spain,death_rate,Death Rate,8.04
2020-03-29,Germany,total_cases,Total Cases,57695
2020-03-29,Germany,new_cases,New Cases,6824
2020-03-29,Germany,total_deaths,Total Deaths,430
2020-03-29,Germany,new_deaths,NA,79
2020-03-29,Germany,total_recovered,Total Recovered,8481
2020-03-29,Germany,active_cases,Active Cases,48784
2020-03-29,Germany,serious_critical,Serious Critical,1581
2020-03-29,Germany,tot_cases_1m_pop,Total Cases per 1m Population,689
2020-03-29,Germany,deaths_1m_pop,NA,5
2020-03-29,Germany,x1stcase,NA,NA
2020-03-29,Germany,death_rate,Death Rate,0.75
2020-03-29,France,total_cases,Total Cases,37575
2020-03-29,France,new_cases,New Cases,4611
2020-03-29,France,total_deaths,Total Deaths,2314
2020-03-29,France,new_deaths,NA,319
2020-03-29,France,total_recovered,Total Recovered,5700
2020-03-29,France,active_cases,Active Cases,29561
2020-03-29,France,serious_critical,Serious Critical,4273
2020-03-29,France,tot_cases_1m_pop,Total Cases per 1m Population,576
2020-03-29,France,deaths_1m_pop,NA,35
2020-03-29,France,x1stcase,NA,NA
2020-03-29,France,death_rate,Death Rate,6.16
2020-03-29,Iran,total_cases,Total Cases,35408
2020-03-29,Iran,new_cases,New Cases,3076
2020-03-29,Iran,total_deaths,Total Deaths,2517
2020-03-29,Iran,new_deaths,NA,139
2020-03-29,Iran,total_recovered,Total Recovered,11679
2020-03-29,Iran,active_cases,Active Cases,21212
2020-03-29,Iran,serious_critical,Serious Critical,3206
2020-03-29,Iran,tot_cases_1m_pop,Total Cases per 1m Population,422
2020-03-29,Iran,deaths_1m_pop,NA,30
2020-03-29,Iran,x1stcase,NA,NA
2020-03-29,Iran,death_rate,Death Rate,7.11
2020-03-29,UK,total_cases,Total Cases,17089
2020-03-29,UK,new_cases,New Cases,2546
2020-03-29,UK,total_deaths,Total Deaths,1019
2020-03-29,UK,new_deaths,NA,260
2020-03-29,UK,total_recovered,Total Recovered,135
2020-03-29,UK,active_cases,Active Cases,15935
2020-03-29,UK,serious_critical,Serious Critical,163
2020-03-29,UK,tot_cases_1m_pop,Total Cases per 1m Population,252
2020-03-29,UK,deaths_1m_pop,NA,15
2020-03-29,UK,x1stcase,NA,NA
2020-03-29,UK,death_rate,Death Rate,5.96
2020-03-29,Switzerland,total_cases,Total Cases,14076
2020-03-29,Switzerland,new_cases,New Cases,1148
2020-03-29,Switzerland,total_deaths,Total Deaths,264
2020-03-29,Switzerland,new_deaths,NA,33
2020-03-29,Switzerland,total_recovered,Total Recovered,1530
2020-03-29,Switzerland,active_cases,Active Cases,12282
2020-03-29,Switzerland,serious_critical,Serious Critical,301
2020-03-29,Switzerland,tot_cases_1m_pop,Total Cases per 1m Population,1626
2020-03-29,Switzerland,deaths_1m_pop,NA,31
2020-03-29,Switzerland,x1stcase,NA,NA
2020-03-29,Switzerland,death_rate,Death Rate,1.88
2020-03-29,Netherlands,total_cases,Total Cases,9762
2020-03-29,Netherlands,new_cases,New Cases,1159
2020-03-29,Netherlands,total_deaths,Total Deaths,639
2020-03-29,Netherlands,new_deaths,NA,93
2020-03-29,Netherlands,total_recovered,Total Recovered,3
2020-03-29,Netherlands,active_cases,Active Cases,9120
2020-03-29,Netherlands,serious_critical,Serious Critical,761
2020-03-29,Netherlands,tot_cases_1m_pop,Total Cases per 1m Population,570
2020-03-29,Netherlands,deaths_1m_pop,NA,37
2020-03-29,Netherlands,x1stcase,NA,NA
2020-03-29,Netherlands,death_rate,Death Rate,6.55
2020-03-29,South Korea,total_cases,Total Cases,9478
2020-03-29,South Korea,new_cases,New Cases,146
2020-03-29,South Korea,total_deaths,Total Deaths,144
2020-03-29,South Korea,new_deaths,NA,5
2020-03-29,South Korea,total_recovered,Total Recovered,4811
2020-03-29,South Korea,active_cases,Active Cases,4523
2020-03-29,South Korea,serious_critical,Serious Critical,59
2020-03-29,South Korea,tot_cases_1m_pop,Total Cases per 1m Population,185
2020-03-29,South Korea,deaths_1m_pop,NA,3
2020-03-29,South Korea,x1stcase,NA,NA
2020-03-29,South Korea,death_rate,Death Rate,1.52
2020-03-29,Belgium,total_cases,Total Cases,9134
2020-03-29,Belgium,new_cases,New Cases,1850
2020-03-29,Belgium,total_deaths,Total Deaths,353
2020-03-29,Belgium,new_deaths,NA,64
2020-03-29,Belgium,total_recovered,Total Recovered,1063
2020-03-29,Belgium,active_cases,Active Cases,7718
2020-03-29,Belgium,serious_critical,Serious Critical,789
2020-03-29,Belgium,tot_cases_1m_pop,Total Cases per 1m Population,788
2020-03-29,Belgium,deaths_1m_pop,NA,30
2020-03-29,Belgium,x1stcase,NA,NA
2020-03-29,Belgium,death_rate,Death Rate,3.86
2020-03-29,Austria,total_cases,Total Cases,8188
2020-03-29,Austria,new_cases,New Cases,491
2020-03-29,Austria,total_deaths,Total Deaths,68
2020-03-29,Austria,new_deaths,NA,10
2020-03-29,Austria,total_recovered,Total Recovered,225
2020-03-29,Austria,active_cases,Active Cases,7895
2020-03-29,Austria,serious_critical,Serious Critical,128
2020-03-29,Austria,tot_cases_1m_pop,Total Cases per 1m Population,909
2020-03-29,Austria,deaths_1m_pop,NA,8
2020-03-29,Austria,x1stcase,NA,NA
2020-03-29,Austria,death_rate,Death Rate,0.83
2020-03-29,Turkey,total_cases,Total Cases,7402
2020-03-29,Turkey,new_cases,New Cases,1704
2020-03-29,Turkey,total_deaths,Total Deaths,108
2020-03-29,Turkey,new_deaths,NA,16
2020-03-29,Turkey,total_recovered,Total Recovered,70
2020-03-29,Turkey,active_cases,Active Cases,7224
2020-03-29,Turkey,serious_critical,Serious Critical,309
2020-03-29,Turkey,tot_cases_1m_pop,Total Cases per 1m Population,88
2020-03-29,Turkey,deaths_1m_pop,NA,1
2020-03-29,Turkey,x1stcase,NA,NA
2020-03-29,Turkey,death_rate,Death Rate,1.46
2020-03-29,Canada,total_cases,Total Cases,5546
2020-03-29,Canada,new_cases,New Cases,789
2020-03-29,Canada,total_deaths,Total Deaths,55
2020-03-29,Canada,new_deaths,NA,NA
2020-03-29,Canada,total_recovered,Total Recovered,354
2020-03-29,Canada,active_cases,Active Cases,5137
2020-03-29,Canada,serious_critical,Serious Critical,120
2020-03-29,Canada,tot_cases_1m_pop,Total Cases per 1m Population,147
2020-03-29,Canada,deaths_1m_pop,NA,1
2020-03-29,Canada,x1stcase,NA,NA
2020-03-29,Canada,death_rate,Death Rate,0.99
2020-03-29,Portugal,total_cases,Total Cases,5170
2020-03-29,Portugal,new_cases,New Cases,902
2020-03-29,Portugal,total_deaths,Total Deaths,100
2020-03-29,Portugal,new_deaths,NA,24
2020-03-29,Portugal,total_recovered,Total Recovered,43
2020-03-29,Portugal,active_cases,Active Cases,5027
2020-03-29,Portugal,serious_critical,Serious Critical,89
2020-03-29,Portugal,tot_cases_1m_pop,Total Cases per 1m Population,507
2020-03-29,Portugal,deaths_1m_pop,NA,10
2020-03-29,Portugal,x1stcase,NA,NA
2020-03-29,Portugal,death_rate,Death Rate,1.93
2020-03-29,Norway,total_cases,Total Cases,4001
2020-03-29,Norway,new_cases,New Cases,230
2020-03-29,Norway,total_deaths,Total Deaths,22
2020-03-29,Norway,new_deaths,NA,3
2020-03-29,Norway,total_recovered,Total Recovered,7
2020-03-29,Norway,active_cases,Active Cases,3972
2020-03-29,Norway,serious_critical,Serious Critical,84
2020-03-29,Norway,tot_cases_1m_pop,Total Cases per 1m Population,738
2020-03-29,Norway,deaths_1m_pop,NA,4
2020-03-29,Norway,x1stcase,NA,NA
2020-03-29,Norway,death_rate,Death Rate,0.55
2020-03-29,Australia,total_cases,Total Cases,3635
2020-03-29,Australia,new_cases,New Cases,257
2020-03-29,Australia,total_deaths,Total Deaths,14
2020-03-29,Australia,new_deaths,NA,1
2020-03-29,Australia,total_recovered,Total Recovered,170
2020-03-29,Australia,active_cases,Active Cases,3451
2020-03-29,Australia,serious_critical,Serious Critical,23
2020-03-29,Australia,tot_cases_1m_pop,Total Cases per 1m Population,143
2020-03-29,Australia,deaths_1m_pop,NA,0.5
2020-03-29,Australia,x1stcase,NA,NA
2020-03-29,Australia,death_rate,Death Rate,0.39
2020-03-29,Israel,total_cases,Total Cases,3619
2020-03-29,Israel,new_cases,New Cases,584
2020-03-29,Israel,total_deaths,Total Deaths,12
2020-03-29,Israel,new_deaths,NA,NA
2020-03-29,Israel,total_recovered,Total Recovered,89
2020-03-29,Israel,active_cases,Active Cases,3518
2020-03-29,Israel,serious_critical,Serious Critical,50
2020-03-29,Israel,tot_cases_1m_pop,Total Cases per 1m Population,418
2020-03-29,Israel,deaths_1m_pop,NA,1
2020-03-29,Israel,x1stcase,NA,NA
2020-03-29,Israel,death_rate,Death Rate,0.33
2020-03-29,Brazil,total_cases,Total Cases,3477
2020-03-29,Brazil,new_cases,New Cases,60
2020-03-29,Brazil,total_deaths,Total Deaths,93
2020-03-29,Brazil,new_deaths,NA,1
2020-03-29,Brazil,total_recovered,Total Recovered,6
2020-03-29,Brazil,active_cases,Active Cases,3378
2020-03-29,Brazil,serious_critical,Serious Critical,296
2020-03-29,Brazil,tot_cases_1m_pop,Total Cases per 1m Population,16
2020-03-29,Brazil,deaths_1m_pop,NA,0.4
2020-03-29,Brazil,x1stcase,NA,NA
2020-03-29,Brazil,death_rate,Death Rate,2.67
2020-03-29,Sweden,total_cases,Total Cases,3447
2020-03-29,Sweden,new_cases,New Cases,378
2020-03-29,Sweden,total_deaths,Total Deaths,105
2020-03-29,Sweden,new_deaths,NA,NA
2020-03-29,Sweden,total_recovered,Total Recovered,16
2020-03-29,Sweden,active_cases,Active Cases,3326
2020-03-29,Sweden,serious_critical,Serious Critical,239
2020-03-29,Sweden,tot_cases_1m_pop,Total Cases per 1m Population,341
2020-03-29,Sweden,deaths_1m_pop,NA,10
2020-03-29,Sweden,x1stcase,NA,NA
2020-03-29,Sweden,death_rate,Death Rate,3.05
2020-03-29,Czech Republic,total_cases,Total Cases,2541
2020-03-29,Czech Republic,new_cases,New Cases,262
2020-03-29,Czech Republic,total_deaths,Total Deaths,11
2020-03-29,Czech Republic,new_deaths,NA,2
2020-03-29,Czech Republic,total_recovered,Total Recovered,11
2020-03-29,Czech Republic,active_cases,Active Cases,2519
2020-03-29,Czech Republic,serious_critical,Serious Critical,250
2020-03-29,Czech Republic,tot_cases_1m_pop,Total Cases per 1m Population,237
2020-03-29,Czech Republic,deaths_1m_pop,NA,1
2020-03-29,Czech Republic,x1stcase,NA,NA
2020-03-29,Czech Republic,death_rate,Death Rate,0.43
2020-03-29,Ireland,total_cases,Total Cases,2415
2020-03-29,Ireland,new_cases,New Cases,294
2020-03-29,Ireland,total_deaths,Total Deaths,36
2020-03-29,Ireland,new_deaths,NA,14
2020-03-29,Ireland,total_recovered,Total Recovered,5
2020-03-29,Ireland,active_cases,Active Cases,2374
2020-03-29,Ireland,serious_critical,Serious Critical,59
2020-03-29,Ireland,tot_cases_1m_pop,Total Cases per 1m Population,489
2020-03-29,Ireland,deaths_1m_pop,NA,7
2020-03-29,Ireland,x1stcase,NA,NA
2020-03-29,Ireland,death_rate,Death Rate,1.49
2020-03-29,Malaysia,total_cases,Total Cases,2320
2020-03-29,Malaysia,new_cases,New Cases,159
2020-03-29,Malaysia,total_deaths,Total Deaths,27
2020-03-29,Malaysia,new_deaths,NA,1
2020-03-29,Malaysia,total_recovered,Total Recovered,320
2020-03-29,Malaysia,active_cases,Active Cases,1973
2020-03-29,Malaysia,serious_critical,Serious Critical,54
2020-03-29,Malaysia,tot_cases_1m_pop,Total Cases per 1m Population,72
2020-03-29,Malaysia,deaths_1m_pop,NA,0.8
2020-03-29,Malaysia,x1stcase,NA,NA
2020-03-29,Malaysia,death_rate,Death Rate,1.16
2020-03-29,Denmark,total_cases,Total Cases,2201
2020-03-29,Denmark,new_cases,New Cases,155
2020-03-29,Denmark,total_deaths,Total Deaths,65
2020-03-29,Denmark,new_deaths,NA,13
2020-03-29,Denmark,total_recovered,Total Recovered,1
2020-03-29,Denmark,active_cases,Active Cases,2135
2020-03-29,Denmark,serious_critical,Serious Critical,109
2020-03-29,Denmark,tot_cases_1m_pop,Total Cases per 1m Population,380
2020-03-29,Denmark,deaths_1m_pop,NA,11
2020-03-29,Denmark,x1stcase,NA,NA
2020-03-29,Denmark,death_rate,Death Rate,2.95
2020-03-29,Chile,total_cases,Total Cases,1909
2020-03-29,Chile,new_cases,New Cases,299
2020-03-29,Chile,total_deaths,Total Deaths,6
2020-03-29,Chile,new_deaths,NA,1
2020-03-29,Chile,total_recovered,Total Recovered,61
2020-03-29,Chile,active_cases,Active Cases,1842
2020-03-29,Chile,serious_critical,Serious Critical,7
2020-03-29,Chile,tot_cases_1m_pop,Total Cases per 1m Population,100
2020-03-29,Chile,deaths_1m_pop,NA,0.3
2020-03-29,Chile,x1stcase,NA,NA
2020-03-29,Chile,death_rate,Death Rate,0.31
2020-03-29,Luxembourg,total_cases,Total Cases,1831
2020-03-29,Luxembourg,new_cases,New Cases,226
2020-03-29,Luxembourg,total_deaths,Total Deaths,18
2020-03-29,Luxembourg,new_deaths,NA,3
2020-03-29,Luxembourg,total_recovered,Total Recovered,40
2020-03-29,Luxembourg,active_cases,Active Cases,1773
2020-03-29,Luxembourg,serious_critical,Serious Critical,25
2020-03-29,Luxembourg,tot_cases_1m_pop,Total Cases per 1m Population,2925
2020-03-29,Luxembourg,deaths_1m_pop,NA,29
2020-03-29,Luxembourg,x1stcase,NA,NA
2020-03-29,Luxembourg,death_rate,Death Rate,0.98
2020-03-29,Ecuador,total_cases,Total Cases,1823
2020-03-29,Ecuador,new_cases,New Cases,196
