tstamp,country,observation,obs_ord,count
2020-03-14,China,total_cases,Total Cases,80817
2020-03-14,China,new_cases,New Cases,3
2020-03-14,China,total_deaths,Total Deaths,3177
2020-03-14,China,new_deaths,NA,NA
2020-03-14,China,total_recovered,Total Recovered,64152
2020-03-14,China,active_cases,Active Cases,13488
2020-03-14,China,serious_critical,Serious Critical,4020
2020-03-14,China,tot_cases_1m_pop,Total Cases per 1m Population,56.1
2020-03-14,China,death_rate,Death Rate,3.93
2020-03-14,Italy,total_cases,Total Cases,17660
2020-03-14,Italy,new_cases,New Cases,2547
2020-03-14,Italy,total_deaths,Total Deaths,1266
2020-03-14,Italy,new_deaths,NA,250
2020-03-14,Italy,total_recovered,Total Recovered,1439
2020-03-14,Italy,active_cases,Active Cases,14955
2020-03-14,Italy,serious_critical,Serious Critical,1328
2020-03-14,Italy,tot_cases_1m_pop,Total Cases per 1m Population,292.1
2020-03-14,Italy,death_rate,Death Rate,7.17
2020-03-14,Iran,total_cases,Total Cases,11364
2020-03-14,Iran,new_cases,New Cases,1289
2020-03-14,Iran,total_deaths,Total Deaths,514
2020-03-14,Iran,new_deaths,NA,85
2020-03-14,Iran,total_recovered,Total Recovered,3529
2020-03-14,Iran,active_cases,Active Cases,7321
2020-03-14,Iran,serious_critical,Serious Critical,NA
2020-03-14,Iran,tot_cases_1m_pop,Total Cases per 1m Population,135.3
2020-03-14,Iran,death_rate,Death Rate,4.52
2020-03-14,South Korea,total_cases,Total Cases,7979
2020-03-14,South Korea,new_cases,New Cases,110
2020-03-14,South Korea,total_deaths,Total Deaths,71
2020-03-14,South Korea,new_deaths,NA,5
2020-03-14,South Korea,total_recovered,Total Recovered,510
2020-03-14,South Korea,active_cases,Active Cases,7398
2020-03-14,South Korea,serious_critical,Serious Critical,93
2020-03-14,South Korea,tot_cases_1m_pop,Total Cases per 1m Population,155.6
2020-03-14,South Korea,death_rate,Death Rate,0.89
2020-03-14,Spain,total_cases,Total Cases,5232
2020-03-14,Spain,new_cases,New Cases,2086
2020-03-14,Spain,total_deaths,Total Deaths,133
2020-03-14,Spain,new_deaths,NA,47
2020-03-14,Spain,total_recovered,Total Recovered,193
2020-03-14,Spain,active_cases,Active Cases,4906
2020-03-14,Spain,serious_critical,Serious Critical,190
2020-03-14,Spain,tot_cases_1m_pop,Total Cases per 1m Population,111.9
2020-03-14,Spain,death_rate,Death Rate,2.54
2020-03-14,Germany,total_cases,Total Cases,3675
2020-03-14,Germany,new_cases,New Cases,930
2020-03-14,Germany,total_deaths,Total Deaths,8
2020-03-14,Germany,new_deaths,NA,2
2020-03-14,Germany,total_recovered,Total Recovered,46
2020-03-14,Germany,active_cases,Active Cases,3621
2020-03-14,Germany,serious_critical,Serious Critical,9
2020-03-14,Germany,tot_cases_1m_pop,Total Cases per 1m Population,43.9
2020-03-14,Germany,death_rate,Death Rate,0.22
2020-03-14,France,total_cases,Total Cases,3661
2020-03-14,France,new_cases,New Cases,785
2020-03-14,France,total_deaths,Total Deaths,79
2020-03-14,France,new_deaths,NA,18
2020-03-14,France,total_recovered,Total Recovered,12
