tstamp,country,observation,obs_ord,count
2020-04-05,World,total_cases,Total Cases,NA
2020-04-05,World,new_cases,New Cases,1735
2020-04-05,World,total_deaths,Total Deaths,NA
2020-04-05,World,new_deaths,NA,59
2020-04-05,World,total_recovered,Total Recovered,246760
2020-04-05,World,active_cases,Active Cases,891681
2020-04-05,World,serious_critical,Serious Critical,44096
2020-04-05,World,tot_cases_1m_pop,Total Cases per 1m Population,154
2020-04-05,World,deaths_1m_pop,NA,8.3
2020-04-05,World,total_tests,NA,NA
2020-04-05,World,tests_1m_pop,NA,NA
2020-04-05,World,death_rate,Death Rate,NA
2020-04-05,United States,total_cases,Total Cases,311637
2020-04-05,United States,new_cases,New Cases,280
2020-04-05,United States,total_deaths,Total Deaths,8454
2020-04-05,United States,new_deaths,NA,2
2020-04-05,United States,total_recovered,Total Recovered,14828
2020-04-05,United States,active_cases,Active Cases,288355
2020-04-05,United States,serious_critical,Serious Critical,8206
2020-04-05,United States,tot_cases_1m_pop,Total Cases per 1m Population,941
2020-04-05,United States,deaths_1m_pop,NA,26
2020-04-05,United States,total_tests,NA,NA
2020-04-05,United States,tests_1m_pop,NA,5006
2020-04-05,United States,death_rate,Death Rate,2.71
2020-04-05,Spain,total_cases,Total Cases,126168
2020-04-05,Spain,new_cases,New Cases,NA
2020-04-05,Spain,total_deaths,Total Deaths,11947
2020-04-05,Spain,new_deaths,NA,NA
2020-04-05,Spain,total_recovered,Total Recovered,34219
2020-04-05,Spain,active_cases,Active Cases,80002
2020-04-05,Spain,serious_critical,Serious Critical,6532
2020-04-05,Spain,tot_cases_1m_pop,Total Cases per 1m Population,2699
2020-04-05,Spain,deaths_1m_pop,NA,256
2020-04-05,Spain,total_tests,NA,355000
2020-04-05,Spain,tests_1m_pop,NA,7593
2020-04-05,Spain,death_rate,Death Rate,9.47
2020-04-05,Italy,total_cases,Total Cases,124632
2020-04-05,Italy,new_cases,New Cases,NA
2020-04-05,Italy,total_deaths,Total Deaths,15362
2020-04-05,Italy,new_deaths,NA,NA
2020-04-05,Italy,total_recovered,Total Recovered,20996
2020-04-05,Italy,active_cases,Active Cases,88274
2020-04-05,Italy,serious_critical,Serious Critical,3994
2020-04-05,Italy,tot_cases_1m_pop,Total Cases per 1m Population,2061
2020-04-05,Italy,deaths_1m_pop,NA,254
2020-04-05,Italy,total_tests,NA,657224
2020-04-05,Italy,tests_1m_pop,NA,10870
2020-04-05,Italy,death_rate,Death Rate,12.33
2020-04-05,Germany,total_cases,Total Cases,96092
2020-04-05,Germany,new_cases,New Cases,NA
2020-04-05,Germany,total_deaths,Total Deaths,1444
2020-04-05,Germany,new_deaths,NA,NA
2020-04-05,Germany,total_recovered,Total Recovered,26400
2020-04-05,Germany,active_cases,Active Cases,68248
2020-04-05,Germany,serious_critical,Serious Critical,3936
2020-04-05,Germany,tot_cases_1m_pop,Total Cases per 1m Population,1147
2020-04-05,Germany,deaths_1m_pop,NA,17
2020-04-05,Germany,total_tests,NA,918460
2020-04-05,Germany,tests_1m_pop,NA,10962
2020-04-05,Germany,death_rate,Death Rate,1.5
2020-04-05,France,total_cases,Total Cases,89953
2020-04-05,France,new_cases,New Cases,NA
2020-04-05,France,total_deaths,Total Deaths,7560
2020-04-05,France,new_deaths,NA,NA
2020-04-05,France,total_recovered,Total Recovered,15438
2020-04-05,France,active_cases,Active Cases,66955
2020-04-05,France,serious_critical,Serious Critical,6838
2020-04-05,France,tot_cases_1m_pop,Total Cases per 1m Population,1378
2020-04-05,France,deaths_1m_pop,NA,116
2020-04-05,France,total_tests,NA,224254
