tstamp,country,observation,obs_ord,count
2020-03-17,China,total_cases,Total Cases,80880
2020-03-17,China,new_cases,New Cases,36
2020-03-17,China,total_deaths,Total Deaths,3213
2020-03-17,China,new_deaths,NA,14
2020-03-17,China,total_recovered,Total Recovered,67819
2020-03-17,China,active_cases,Active Cases,9848
2020-03-17,China,serious_critical,Serious Critical,3226
2020-03-17,China,tot_cases_1m_pop,Total Cases per 1m Population,56.2
2020-03-17,China,death_rate,Death Rate,3.97
2020-03-17,Italy,total_cases,Total Cases,27980
2020-03-17,Italy,new_cases,New Cases,3233
2020-03-17,Italy,total_deaths,Total Deaths,2158
2020-03-17,Italy,new_deaths,NA,349
2020-03-17,Italy,total_recovered,Total Recovered,2749
2020-03-17,Italy,active_cases,Active Cases,23073
2020-03-17,Italy,serious_critical,Serious Critical,1851
2020-03-17,Italy,tot_cases_1m_pop,Total Cases per 1m Population,462.8
2020-03-17,Italy,death_rate,Death Rate,7.71
2020-03-17,Iran,total_cases,Total Cases,14991
2020-03-17,Iran,new_cases,New Cases,1053
2020-03-17,Iran,total_deaths,Total Deaths,853
2020-03-17,Iran,new_deaths,NA,129
2020-03-17,Iran,total_recovered,Total Recovered,4590
2020-03-17,Iran,active_cases,Active Cases,9548
2020-03-17,Iran,serious_critical,Serious Critical,NA
2020-03-17,Iran,tot_cases_1m_pop,Total Cases per 1m Population,178.5
2020-03-17,Iran,death_rate,Death Rate,5.69
2020-03-17,Spain,total_cases,Total Cases,9428
2020-03-17,Spain,new_cases,New Cases,1440
2020-03-17,Spain,total_deaths,Total Deaths,342
2020-03-17,Spain,new_deaths,NA,48
2020-03-17,Spain,total_recovered,Total Recovered,530
2020-03-17,Spain,active_cases,Active Cases,8556
2020-03-17,Spain,serious_critical,Serious Critical,272
2020-03-17,Spain,tot_cases_1m_pop,Total Cases per 1m Population,201.6
2020-03-17,Spain,death_rate,Death Rate,3.63
2020-03-17,South Korea,total_cases,Total Cases,8236
2020-03-17,South Korea,new_cases,New Cases,74
2020-03-17,South Korea,total_deaths,Total Deaths,75
2020-03-17,South Korea,new_deaths,NA,NA
2020-03-17,South Korea,total_recovered,Total Recovered,1137
2020-03-17,South Korea,active_cases,Active Cases,7024
2020-03-17,South Korea,serious_critical,Serious Critical,59
2020-03-17,South Korea,tot_cases_1m_pop,Total Cases per 1m Population,160.6
2020-03-17,South Korea,death_rate,Death Rate,0.91
2020-03-17,Germany,total_cases,Total Cases,7241
2020-03-17,Germany,new_cases,New Cases,1428
2020-03-17,Germany,total_deaths,Total Deaths,15
2020-03-17,Germany,new_deaths,NA,2
2020-03-17,Germany,total_recovered,Total Recovered,65
2020-03-17,Germany,active_cases,Active Cases,7161
2020-03-17,Germany,serious_critical,Serious Critical,2
2020-03-17,Germany,tot_cases_1m_pop,Total Cases per 1m Population,86.4
2020-03-17,Germany,death_rate,Death Rate,0.21
2020-03-17,France,total_cases,Total Cases,6633
2020-03-17,France,new_cases,New Cases,1210
2020-03-17,France,total_deaths,Total Deaths,148
2020-03-17,France,new_deaths,NA,21
2020-03-17,France,total_recovered,Total Recovered,12
2020-03-17,France,active_cases,Active Cases,6473
2020-03-17,France,serious_critical,Serious Critical,400
2020-03-17,France,tot_cases_1m_pop,Total Cases per 1m Population,101.6
2020-03-17,France,death_rate,Death Rate,2.23
2020-03-17,United States,total_cases,Total Cases,4314
2020-03-17,United States,new_cases,New Cases,634
2020-03-17,United States,total_deaths,Total Deaths,75
2020-03-17,United States,new_deaths,NA,7
2020-03-17,United States,total_recovered,Total Recovered,73
2020-03-17,United States,active_cases,Active Cases,4166
2020-03-17,United States,serious_critical,Serious Critical,12
2020-03-17,United States,tot_cases_1m_pop,Total Cases per 1m Population,13
2020-03-17,United States,death_rate,Death Rate,1.74
2020-03-17,Switzerland,total_cases,Total Cases,2353
2020-03-17,Switzerland,new_cases,New Cases,136
2020-03-17,Switzerland,total_deaths,Total Deaths,19
2020-03-17,Switzerland,new_deaths,NA,5
2020-03-17,Switzerland,total_recovered,Total Recovered,4
2020-03-17,Switzerland,active_cases,Active Cases,2330
2020-03-17,Switzerland,serious_critical,Serious Critical,NA
2020-03-17,Switzerland,tot_cases_1m_pop,Total Cases per 1m Population,271.9
2020-03-17,Switzerland,death_rate,Death Rate,0.81
2020-03-17,UK,total_cases,Total Cases,1543
2020-03-17,UK,new_cases,New Cases,152
2020-03-17,UK,total_deaths,Total Deaths,55
2020-03-17,UK,new_deaths,NA,20
2020-03-17,UK,total_recovered,Total Recovered,52
2020-03-17,UK,active_cases,Active Cases,1436
2020-03-17,UK,serious_critical,Serious Critical,20
2020-03-17,UK,tot_cases_1m_pop,Total Cases per 1m Population,22.7
2020-03-17,UK,death_rate,Death Rate,3.56
2020-03-17,Netherlands,total_cases,Total Cases,1413
2020-03-17,Netherlands,new_cases,New Cases,278
2020-03-17,Netherlands,total_deaths,Total Deaths,24
2020-03-17,Netherlands,new_deaths,NA,4
2020-03-17,Netherlands,total_recovered,Total Recovered,2
2020-03-17,Netherlands,active_cases,Active Cases,1387
2020-03-17,Netherlands,serious_critical,Serious Critical,45
2020-03-17,Netherlands,tot_cases_1m_pop,Total Cases per 1m Population,82.5
2020-03-17,Netherlands,death_rate,Death Rate,1.7
2020-03-17,Norway,total_cases,Total Cases,1332
2020-03-17,Norway,new_cases,New Cases,76
2020-03-17,Norway,total_deaths,Total Deaths,3
2020-03-17,Norway,new_deaths,NA,NA
2020-03-17,Norway,total_recovered,Total Recovered,1
2020-03-17,Norway,active_cases,Active Cases,1328
2020-03-17,Norway,serious_critical,Serious Critical,27
2020-03-17,Norway,tot_cases_1m_pop,Total Cases per 1m Population,245.7
2020-03-17,Norway,death_rate,Death Rate,0.23
2020-03-17,Sweden,total_cases,Total Cases,1119
2020-03-17,Sweden,new_cases,New Cases,79
2020-03-17,Sweden,total_deaths,Total Deaths,7
2020-03-17,Sweden,new_deaths,NA,4
2020-03-17,Sweden,total_recovered,Total Recovered,1
2020-03-17,Sweden,active_cases,Active Cases,1111
2020-03-17,Sweden,serious_critical,Serious Critical,2
2020-03-17,Sweden,tot_cases_1m_pop,Total Cases per 1m Population,110.8
2020-03-17,Sweden,death_rate,Death Rate,0.63
2020-03-17,Belgium,total_cases,Total Cases,1058
2020-03-17,Belgium,new_cases,New Cases,172
2020-03-17,Belgium,total_deaths,Total Deaths,10
2020-03-17,Belgium,new_deaths,NA,6
2020-03-17,Belgium,total_recovered,Total Recovered,1
2020-03-17,Belgium,active_cases,Active Cases,1047
2020-03-17,Belgium,serious_critical,Serious Critical,33
2020-03-17,Belgium,tot_cases_1m_pop,Total Cases per 1m Population,91.3
2020-03-17,Belgium,death_rate,Death Rate,0.95
2020-03-17,Austria,total_cases,Total Cases,1018
2020-03-17,Austria,new_cases,New Cases,158
2020-03-17,Austria,total_deaths,Total Deaths,3
2020-03-17,Austria,new_deaths,NA,2
2020-03-17,Austria,total_recovered,Total Recovered,8
2020-03-17,Austria,active_cases,Active Cases,1007
2020-03-17,Austria,serious_critical,Serious Critical,12
2020-03-17,Austria,tot_cases_1m_pop,Total Cases per 1m Population,113
2020-03-17,Austria,death_rate,Death Rate,0.29
2020-03-17,Denmark,total_cases,Total Cases,914
2020-03-17,Denmark,new_cases,New Cases,50
2020-03-17,Denmark,total_deaths,Total Deaths,4
2020-03-17,Denmark,new_deaths,NA,2
