tstamp,country,observation,obs_ord,count
2020-03-23,China,total_cases,Total Cases,81054
2020-03-23,China,new_cases,New Cases,46
2020-03-23,China,total_deaths,Total Deaths,3261
2020-03-23,China,new_deaths,NA,6
2020-03-23,China,total_recovered,Total Recovered,72440
2020-03-23,China,active_cases,Active Cases,5353
2020-03-23,China,serious_critical,Serious Critical,1845
2020-03-23,China,tot_cases_1m_pop,Total Cases per 1m Population,56
2020-03-23,China,death_rate,Death Rate,4.02
2020-03-23,Italy,total_cases,Total Cases,59138
2020-03-23,Italy,new_cases,New Cases,5560
2020-03-23,Italy,total_deaths,Total Deaths,5476
2020-03-23,Italy,new_deaths,NA,651
2020-03-23,Italy,total_recovered,Total Recovered,7024
2020-03-23,Italy,active_cases,Active Cases,46638
2020-03-23,Italy,serious_critical,Serious Critical,3000
2020-03-23,Italy,tot_cases_1m_pop,Total Cases per 1m Population,978
2020-03-23,Italy,death_rate,Death Rate,9.26
2020-03-23,United States,total_cases,Total Cases,32356
2020-03-23,United States,new_cases,New Cases,8149
2020-03-23,United States,total_deaths,Total Deaths,414
2020-03-23,United States,new_deaths,NA,112
2020-03-23,United States,total_recovered,Total Recovered,178
2020-03-23,United States,active_cases,Active Cases,31764
2020-03-23,United States,serious_critical,Serious Critical,795
2020-03-23,United States,tot_cases_1m_pop,Total Cases per 1m Population,98
2020-03-23,United States,death_rate,Death Rate,1.28
2020-03-23,Spain,total_cases,Total Cases,28603
2020-03-23,Spain,new_cases,New Cases,3107
2020-03-23,Spain,total_deaths,Total Deaths,1756
2020-03-23,Spain,new_deaths,NA,375
2020-03-23,Spain,total_recovered,Total Recovered,2125
2020-03-23,Spain,active_cases,Active Cases,24722
2020-03-23,Spain,serious_critical,Serious Critical,1785
2020-03-23,Spain,tot_cases_1m_pop,Total Cases per 1m Population,612
2020-03-23,Spain,death_rate,Death Rate,6.14
2020-03-23,Germany,total_cases,Total Cases,24852
2020-03-23,Germany,new_cases,New Cases,2488
2020-03-23,Germany,total_deaths,Total Deaths,94
2020-03-23,Germany,new_deaths,NA,10
2020-03-23,Germany,total_recovered,Total Recovered,266
2020-03-23,Germany,active_cases,Active Cases,24492
2020-03-23,Germany,serious_critical,Serious Critical,2
2020-03-23,Germany,tot_cases_1m_pop,Total Cases per 1m Population,297
2020-03-23,Germany,death_rate,Death Rate,0.38
2020-03-23,Iran,total_cases,Total Cases,21638
2020-03-23,Iran,new_cases,New Cases,1028
2020-03-23,Iran,total_deaths,Total Deaths,1685
2020-03-23,Iran,new_deaths,NA,129
2020-03-23,Iran,total_recovered,Total Recovered,7635
2020-03-23,Iran,active_cases,Active Cases,12318
2020-03-23,Iran,serious_critical,Serious Critical,NA
2020-03-23,Iran,tot_cases_1m_pop,Total Cases per 1m Population,258
2020-03-23,Iran,death_rate,Death Rate,7.79
2020-03-23,France,total_cases,Total Cases,16018
2020-03-23,France,new_cases,New Cases,1559
2020-03-23,France,total_deaths,Total Deaths,674
2020-03-23,France,new_deaths,NA,112
2020-03-23,France,total_recovered,Total Recovered,2200
2020-03-23,France,active_cases,Active Cases,13144
2020-03-23,France,serious_critical,Serious Critical,1746
2020-03-23,France,tot_cases_1m_pop,Total Cases per 1m Population,245
2020-03-23,France,death_rate,Death Rate,4.21
2020-03-23,South Korea,total_cases,Total Cases,8897
2020-03-23,South Korea,new_cases,New Cases,98
2020-03-23,South Korea,total_deaths,Total Deaths,104
2020-03-23,South Korea,new_deaths,NA,2
2020-03-23,South Korea,total_recovered,Total Recovered,2909
2020-03-23,South Korea,active_cases,Active Cases,5884
2020-03-23,South Korea,serious_critical,Serious Critical,59
2020-03-23,South Korea,tot_cases_1m_pop,Total Cases per 1m Population,174
2020-03-23,South Korea,death_rate,Death Rate,1.17
2020-03-23,Switzerland,total_cases,Total Cases,7474
2020-03-23,Switzerland,new_cases,New Cases,611
2020-03-23,Switzerland,total_deaths,Total Deaths,98
2020-03-23,Switzerland,new_deaths,NA,18
2020-03-23,Switzerland,total_recovered,Total Recovered,131
2020-03-23,Switzerland,active_cases,Active Cases,7245
2020-03-23,Switzerland,serious_critical,Serious Critical,141
2020-03-23,Switzerland,tot_cases_1m_pop,Total Cases per 1m Population,864
2020-03-23,Switzerland,death_rate,Death Rate,1.31
2020-03-23,UK,total_cases,Total Cases,5683
2020-03-23,UK,new_cases,New Cases,665
2020-03-23,UK,total_deaths,Total Deaths,281
2020-03-23,UK,new_deaths,NA,48
2020-03-23,UK,total_recovered,Total Recovered,93
2020-03-23,UK,active_cases,Active Cases,5309
2020-03-23,UK,serious_critical,Serious Critical,20
2020-03-23,UK,tot_cases_1m_pop,Total Cases per 1m Population,84
2020-03-23,UK,death_rate,Death Rate,4.94
2020-03-23,Netherlands,total_cases,Total Cases,4204
2020-03-23,Netherlands,new_cases,New Cases,573
2020-03-23,Netherlands,total_deaths,Total Deaths,179
2020-03-23,Netherlands,new_deaths,NA,43
2020-03-23,Netherlands,total_recovered,Total Recovered,2
2020-03-23,Netherlands,active_cases,Active Cases,4023
2020-03-23,Netherlands,serious_critical,Serious Critical,354
2020-03-23,Netherlands,tot_cases_1m_pop,Total Cases per 1m Population,245
2020-03-23,Netherlands,death_rate,Death Rate,4.26
2020-03-23,Belgium,total_cases,Total Cases,3401
2020-03-23,Belgium,new_cases,New Cases,586
2020-03-23,Belgium,total_deaths,Total Deaths,75
2020-03-23,Belgium,new_deaths,NA,8
2020-03-23,Belgium,total_recovered,Total Recovered,263
2020-03-23,Belgium,active_cases,Active Cases,3063
2020-03-23,Belgium,serious_critical,Serious Critical,288
2020-03-23,Belgium,tot_cases_1m_pop,Total Cases per 1m Population,293
2020-03-23,Belgium,death_rate,Death Rate,2.21
2020-03-23,Austria,total_cases,Total Cases,3302
2020-03-23,Austria,new_cases,New Cases,310
2020-03-23,Austria,total_deaths,Total Deaths,16
2020-03-23,Austria,new_deaths,NA,8
2020-03-23,Austria,total_recovered,Total Recovered,9
2020-03-23,Austria,active_cases,Active Cases,3277
2020-03-23,Austria,serious_critical,Serious Critical,15
2020-03-23,Austria,tot_cases_1m_pop,Total Cases per 1m Population,367
2020-03-23,Austria,death_rate,Death Rate,0.48
2020-03-23,Norway,total_cases,Total Cases,2263
2020-03-23,Norway,new_cases,New Cases,99
2020-03-23,Norway,total_deaths,Total Deaths,7
2020-03-23,Norway,new_deaths,NA,NA
2020-03-23,Norway,total_recovered,Total Recovered,6
2020-03-23,Norway,active_cases,Active Cases,2250
2020-03-23,Norway,serious_critical,Serious Critical,28
2020-03-23,Norway,tot_cases_1m_pop,Total Cases per 1m Population,417
2020-03-23,Norway,death_rate,Death Rate,0.31
2020-03-23,Sweden,total_cases,Total Cases,1931
2020-03-23,Sweden,new_cases,New Cases,161
2020-03-23,Sweden,total_deaths,Total Deaths,21
2020-03-23,Sweden,new_deaths,NA,1
2020-03-23,Sweden,total_recovered,Total Recovered,16
2020-03-23,Sweden,active_cases,Active Cases,1894
2020-03-23,Sweden,serious_critical,Serious Critical,68
2020-03-23,Sweden,tot_cases_1m_pop,Total Cases per 1m Population,191
