tstamp,country,observation,obs_ord,count
2020-03-20,China,total_cases,Total Cases,80928
2020-03-20,China,new_cases,New Cases,34
2020-03-20,China,total_deaths,Total Deaths,3245
2020-03-20,China,new_deaths,NA,8
2020-03-20,China,total_recovered,Total Recovered,70420
2020-03-20,China,active_cases,Active Cases,7263
2020-03-20,China,serious_critical,Serious Critical,2274
2020-03-20,China,tot_cases_1m_pop,Total Cases per 1m Population,56
2020-03-20,China,death_rate,Death Rate,4.01
2020-03-20,Italy,total_cases,Total Cases,41035
2020-03-20,Italy,new_cases,New Cases,5322
2020-03-20,Italy,total_deaths,Total Deaths,3405
2020-03-20,Italy,new_deaths,NA,427
2020-03-20,Italy,total_recovered,Total Recovered,4440
2020-03-20,Italy,active_cases,Active Cases,33190
2020-03-20,Italy,serious_critical,Serious Critical,2498
2020-03-20,Italy,tot_cases_1m_pop,Total Cases per 1m Population,679
2020-03-20,Italy,death_rate,Death Rate,8.3
2020-03-20,Iran,total_cases,Total Cases,18407
2020-03-20,Iran,new_cases,New Cases,1046
2020-03-20,Iran,total_deaths,Total Deaths,1284
2020-03-20,Iran,new_deaths,NA,149
2020-03-20,Iran,total_recovered,Total Recovered,5979
2020-03-20,Iran,active_cases,Active Cases,11144
2020-03-20,Iran,serious_critical,Serious Critical,NA
2020-03-20,Iran,tot_cases_1m_pop,Total Cases per 1m Population,219
2020-03-20,Iran,death_rate,Death Rate,6.98
2020-03-20,Spain,total_cases,Total Cases,17963
2020-03-20,Spain,new_cases,New Cases,3194
2020-03-20,Spain,total_deaths,Total Deaths,830
2020-03-20,Spain,new_deaths,NA,192
2020-03-20,Spain,total_recovered,Total Recovered,1107
2020-03-20,Spain,active_cases,Active Cases,16026
2020-03-20,Spain,serious_critical,Serious Critical,800
2020-03-20,Spain,tot_cases_1m_pop,Total Cases per 1m Population,384
2020-03-20,Spain,death_rate,Death Rate,4.62
2020-03-20,Germany,total_cases,Total Cases,15320
2020-03-20,Germany,new_cases,New Cases,2993
2020-03-20,Germany,total_deaths,Total Deaths,44
2020-03-20,Germany,new_deaths,NA,16
2020-03-20,Germany,total_recovered,Total Recovered,115
2020-03-20,Germany,active_cases,Active Cases,15161
2020-03-20,Germany,serious_critical,Serious Critical,2
2020-03-20,Germany,tot_cases_1m_pop,Total Cases per 1m Population,183
2020-03-20,Germany,death_rate,Death Rate,0.29
2020-03-20,United States,total_cases,Total Cases,11699
2020-03-20,United States,new_cases,New Cases,2440
2020-03-20,United States,total_deaths,Total Deaths,174
2020-03-20,United States,new_deaths,NA,24
2020-03-20,United States,total_recovered,Total Recovered,108
2020-03-20,United States,active_cases,Active Cases,11417
2020-03-20,United States,serious_critical,Serious Critical,64
2020-03-20,United States,tot_cases_1m_pop,Total Cases per 1m Population,35
2020-03-20,United States,death_rate,Death Rate,1.49
2020-03-20,France,total_cases,Total Cases,10995
2020-03-20,France,new_cases,New Cases,1861
2020-03-20,France,total_deaths,Total Deaths,372
2020-03-20,France,new_deaths,NA,108
2020-03-20,France,total_recovered,Total Recovered,602
2020-03-20,France,active_cases,Active Cases,10021
2020-03-20,France,serious_critical,Serious Critical,931
2020-03-20,France,tot_cases_1m_pop,Total Cases per 1m Population,168
2020-03-20,France,death_rate,Death Rate,3.38
2020-03-20,South Korea,total_cases,Total Cases,8565
2020-03-20,South Korea,new_cases,New Cases,152
2020-03-20,South Korea,total_deaths,Total Deaths,91
2020-03-20,South Korea,new_deaths,NA,7
2020-03-20,South Korea,total_recovered,Total Recovered,1947
2020-03-20,South Korea,active_cases,Active Cases,6527
2020-03-20,South Korea,serious_critical,Serious Critical,59
2020-03-20,South Korea,tot_cases_1m_pop,Total Cases per 1m Population,167
2020-03-20,South Korea,death_rate,Death Rate,1.06
2020-03-20,Switzerland,total_cases,Total Cases,3944
2020-03-20,Switzerland,new_cases,New Cases,829
2020-03-20,Switzerland,total_deaths,Total Deaths,41
2020-03-20,Switzerland,new_deaths,NA,8
2020-03-20,Switzerland,total_recovered,Total Recovered,15
2020-03-20,Switzerland,active_cases,Active Cases,3888
2020-03-20,Switzerland,serious_critical,Serious Critical,NA
2020-03-20,Switzerland,tot_cases_1m_pop,Total Cases per 1m Population,456
2020-03-20,Switzerland,death_rate,Death Rate,1.04
2020-03-20,UK,total_cases,Total Cases,3269
2020-03-20,UK,new_cases,New Cases,643
2020-03-20,UK,total_deaths,Total Deaths,144
2020-03-20,UK,new_deaths,NA,40
2020-03-20,UK,total_recovered,Total Recovered,65
2020-03-20,UK,active_cases,Active Cases,3060
2020-03-20,UK,serious_critical,Serious Critical,20
