tstamp,country,observation,obs_ord,count
2020-03-16,China,total_cases,Total Cases,80849
2020-03-16,China,new_cases,New Cases,25
2020-03-16,China,total_deaths,Total Deaths,3199
2020-03-16,China,new_deaths,NA,10
2020-03-16,China,total_recovered,Total Recovered,66931
2020-03-16,China,active_cases,Active Cases,10719
2020-03-16,China,serious_critical,Serious Critical,3226
2020-03-16,China,tot_cases_1m_pop,Total Cases per 1m Population,56.2
2020-03-16,China,death_rate,Death Rate,3.96
2020-03-16,Italy,total_cases,Total Cases,24747
2020-03-16,Italy,new_cases,New Cases,3590
2020-03-16,Italy,total_deaths,Total Deaths,1809
2020-03-16,Italy,new_deaths,NA,368
2020-03-16,Italy,total_recovered,Total Recovered,2335
2020-03-16,Italy,active_cases,Active Cases,20603
2020-03-16,Italy,serious_critical,Serious Critical,1672
2020-03-16,Italy,tot_cases_1m_pop,Total Cases per 1m Population,409.3
2020-03-16,Italy,death_rate,Death Rate,7.31
2020-03-16,Iran,total_cases,Total Cases,13938
2020-03-16,Iran,new_cases,New Cases,1209
2020-03-16,Iran,total_deaths,Total Deaths,724
2020-03-16,Iran,new_deaths,NA,113
2020-03-16,Iran,total_recovered,Total Recovered,4590
2020-03-16,Iran,active_cases,Active Cases,8624
2020-03-16,Iran,serious_critical,Serious Critical,NA
2020-03-16,Iran,tot_cases_1m_pop,Total Cases per 1m Population,165.9
2020-03-16,Iran,death_rate,Death Rate,5.19
2020-03-16,South Korea,total_cases,Total Cases,8162
2020-03-16,South Korea,new_cases,New Cases,76
2020-03-16,South Korea,total_deaths,Total Deaths,75
2020-03-16,South Korea,new_deaths,NA,3
2020-03-16,South Korea,total_recovered,Total Recovered,834
2020-03-16,South Korea,active_cases,Active Cases,7253
2020-03-16,South Korea,serious_critical,Serious Critical,59
2020-03-16,South Korea,tot_cases_1m_pop,Total Cases per 1m Population,159.2
2020-03-16,South Korea,death_rate,Death Rate,0.92
2020-03-16,Spain,total_cases,Total Cases,7843
2020-03-16,Spain,new_cases,New Cases,1452
2020-03-16,Spain,total_deaths,Total Deaths,292
2020-03-16,Spain,new_deaths,NA,96
2020-03-16,Spain,total_recovered,Total Recovered,517
2020-03-16,Spain,active_cases,Active Cases,7034
2020-03-16,Spain,serious_critical,Serious Critical,272
2020-03-16,Spain,tot_cases_1m_pop,Total Cases per 1m Population,167.7
2020-03-16,Spain,death_rate,Death Rate,3.72
2020-03-16,Germany,total_cases,Total Cases,5813
2020-03-16,Germany,new_cases,New Cases,1214
2020-03-16,Germany,total_deaths,Total Deaths,11
2020-03-16,Germany,new_deaths,NA,2
2020-03-16,Germany,total_recovered,Total Recovered,46
2020-03-16,Germany,active_cases,Active Cases,5756
2020-03-16,Germany,serious_critical,Serious Critical,2
2020-03-16,Germany,tot_cases_1m_pop,Total Cases per 1m Population,69.4
2020-03-16,Germany,death_rate,Death Rate,0.19
2020-03-16,France,total_cases,Total Cases,5423
2020-03-16,France,new_cases,New Cases,924
2020-03-16,France,total_deaths,Total Deaths,127
2020-03-16,France,new_deaths,NA,36
2020-03-16,France,total_recovered,Total Recovered,12
2020-03-16,France,active_cases,Active Cases,5284
2020-03-16,France,serious_critical,Serious Critical,400
2020-03-16,France,tot_cases_1m_pop,Total Cases per 1m Population,83.1
2020-03-16,France,death_rate,Death Rate,2.34
2020-03-16,United States,total_cases,Total Cases,3400
2020-03-16,United States,new_cases,New Cases,457
2020-03-16,United States,total_deaths,Total Deaths,63
2020-03-16,United States,new_deaths,NA,6
2020-03-16,United States,total_recovered,Total Recovered,59
2020-03-16,United States,active_cases,Active Cases,3278
2020-03-16,United States,serious_critical,Serious Critical,10
2020-03-16,United States,tot_cases_1m_pop,Total Cases per 1m Population,10.3
2020-03-16,United States,death_rate,Death Rate,1.85
2020-03-16,Switzerland,total_cases,Total Cases,2217
2020-03-16,Switzerland,new_cases,New Cases,842
2020-03-16,Switzerland,total_deaths,Total Deaths,14
2020-03-16,Switzerland,new_deaths,NA,1
2020-03-16,Switzerland,total_recovered,Total Recovered,4
2020-03-16,Switzerland,active_cases,Active Cases,2199
2020-03-16,Switzerland,serious_critical,Serious Critical,NA
2020-03-16,Switzerland,tot_cases_1m_pop,Total Cases per 1m Population,256.2
2020-03-16,Switzerland,death_rate,Death Rate,0.63
2020-03-16,UK,total_cases,Total Cases,1372
2020-03-16,UK,new_cases,New Cases,232
2020-03-16,UK,total_deaths,Total Deaths,35
2020-03-16,UK,new_deaths,NA,14
2020-03-16,UK,total_recovered,Total Recovered,20
2020-03-16,UK,active_cases,Active Cases,1317
2020-03-16,UK,serious_critical,Serious Critical,20
2020-03-16,UK,tot_cases_1m_pop,Total Cases per 1m Population,20.2
2020-03-16,UK,death_rate,Death Rate,2.55
2020-03-16,Norway,total_cases,Total Cases,1246
2020-03-16,Norway,new_cases,New Cases,137
2020-03-16,Norway,total_deaths,Total Deaths,3
2020-03-16,Norway,new_deaths,NA,NA
2020-03-16,Norway,total_recovered,Total Recovered,1
2020-03-16,Norway,active_cases,Active Cases,1242
2020-03-16,Norway,serious_critical,Serious Critical,27
2020-03-16,Norway,tot_cases_1m_pop,Total Cases per 1m Population,229.8
2020-03-16,Norway,death_rate,Death Rate,0.24
2020-03-16,Netherlands,total_cases,Total Cases,1135
2020-03-16,Netherlands,new_cases,New Cases,176
2020-03-16,Netherlands,total_deaths,Total Deaths,20
2020-03-16,Netherlands,new_deaths,NA,8
2020-03-16,Netherlands,total_recovered,Total Recovered,2
2020-03-16,Netherlands,active_cases,Active Cases,1113
2020-03-16,Netherlands,serious_critical,Serious Critical,45
2020-03-16,Netherlands,tot_cases_1m_pop,Total Cases per 1m Population,66.2
2020-03-16,Netherlands,death_rate,Death Rate,1.76
2020-03-16,Sweden,total_cases,Total Cases,1040
2020-03-16,Sweden,new_cases,New Cases,79
2020-03-16,Sweden,total_deaths,Total Deaths,3
2020-03-16,Sweden,new_deaths,NA,1
2020-03-16,Sweden,total_recovered,Total Recovered,1
2020-03-16,Sweden,active_cases,Active Cases,1036
2020-03-16,Sweden,serious_critical,Serious Critical,2
2020-03-16,Sweden,tot_cases_1m_pop,Total Cases per 1m Population,103
2020-03-16,Sweden,death_rate,Death Rate,0.29
2020-03-16,Belgium,total_cases,Total Cases,886
2020-03-16,Belgium,new_cases,New Cases,197
2020-03-16,Belgium,total_deaths,Total Deaths,4
2020-03-16,Belgium,new_deaths,NA,NA
2020-03-16,Belgium,total_recovered,Total Recovered,1
2020-03-16,Belgium,active_cases,Active Cases,881
2020-03-16,Belgium,serious_critical,Serious Critical,33
2020-03-16,Belgium,tot_cases_1m_pop,Total Cases per 1m Population,76.4
2020-03-16,Belgium,death_rate,Death Rate,0.45
2020-03-16,Denmark,total_cases,Total Cases,864
2020-03-16,Denmark,new_cases,New Cases,28
2020-03-16,Denmark,total_deaths,Total Deaths,2
2020-03-16,Denmark,new_deaths,NA,1
2020-03-16,Denmark,total_recovered,Total Recovered,1
2020-03-16,Denmark,active_cases,Active Cases,861
2020-03-16,Denmark,serious_critical,Serious Critical,2
2020-03-16,Denmark,tot_cases_1m_pop,Total Cases per 1m Population,149.2
2020-03-16,Denmark,death_rate,Death Rate,0.23
2020-03-16,Austria,total_cases,Total Cases,860
2020-03-16,Austria,new_cases,New Cases,205
2020-03-16,Austria,total_deaths,Total Deaths,1
2020-03-16,Austria,new_deaths,NA,NA
2020-03-16,Austria,total_recovered,Total Recovered,6
2020-03-16,Austria,active_cases,Active Cases,853
2020-03-16,Austria,serious_critical,Serious Critical,1
2020-03-16,Austria,tot_cases_1m_pop,Total Cases per 1m Population,95.5
2020-03-16,Austria,death_rate,Death Rate,0.12
2020-03-16,Japan,total_cases,Total Cases,839
2020-03-16,Japan,new_cases,New Cases,35
2020-03-16,Japan,total_deaths,Total Deaths,24
2020-03-16,Japan,new_deaths,NA,2
2020-03-16,Japan,total_recovered,Total Recovered,144
2020-03-16,Japan,active_cases,Active Cases,671
2020-03-16,Japan,serious_critical,Serious Critical,36
2020-03-16,Japan,tot_cases_1m_pop,Total Cases per 1m Population,6.6
2020-03-16,Japan,death_rate,Death Rate,2.86
2020-03-16,Malaysia,total_cases,Total Cases,428
2020-03-16,Malaysia,new_cases,New Cases,190
2020-03-16,Malaysia,total_deaths,Total Deaths,0
2020-03-16,Malaysia,new_deaths,NA,NA
2020-03-16,Malaysia,total_recovered,Total Recovered,42
2020-03-16,Malaysia,active_cases,Active Cases,386
2020-03-16,Malaysia,serious_critical,Serious Critical,9
2020-03-16,Malaysia,tot_cases_1m_pop,Total Cases per 1m Population,13.2
2020-03-16,Malaysia,death_rate,Death Rate,0
2020-03-16,Qatar,total_cases,Total Cases,401
2020-03-16,Qatar,new_cases,New Cases,64
2020-03-16,Qatar,total_deaths,Total Deaths,0
2020-03-16,Qatar,new_deaths,NA,NA
2020-03-16,Qatar,total_recovered,Total Recovered,4
2020-03-16,Qatar,active_cases,Active Cases,397
2020-03-16,Qatar,serious_critical,Serious Critical,NA
2020-03-16,Qatar,tot_cases_1m_pop,Total Cases per 1m Population,139.2
2020-03-16,Qatar,death_rate,Death Rate,0
2020-03-16,Greece,total_cases,Total Cases,331
2020-03-16,Greece,new_cases,New Cases,103
2020-03-16,Greece,total_deaths,Total Deaths,4
2020-03-16,Greece,new_deaths,NA,1
2020-03-16,Greece,total_recovered,Total Recovered,8
2020-03-16,Greece,active_cases,Active Cases,319
2020-03-16,Greece,serious_critical,Serious Critical,5
2020-03-16,Greece,tot_cases_1m_pop,Total Cases per 1m Population,31.8
2020-03-16,Greece,death_rate,Death Rate,1.21
2020-03-16,Canada,total_cases,Total Cases,317
2020-03-16,Canada,new_cases,New Cases,65
