tstamp,country,observation,obs_ord,count
2020-03-28,China,total_cases,Total Cases,81340
2020-03-28,China,new_cases,New Cases,55
2020-03-28,China,total_deaths,Total Deaths,3292
2020-03-28,China,new_deaths,NA,5
2020-03-28,China,total_recovered,Total Recovered,74588
2020-03-28,China,active_cases,Active Cases,3460
2020-03-28,China,serious_critical,Serious Critical,1034
2020-03-28,China,tot_cases_1m_pop,Total Cases per 1m Population,57
2020-03-28,China,tot_deaths_1m_pop,NA,2
2020-03-28,China,death_rate,Death Rate,4.05
2020-03-28,United States,total_cases,Total Cases,100392
2020-03-28,United States,new_cases,New Cases,14957
2020-03-28,United States,total_deaths,Total Deaths,1543
2020-03-28,United States,new_deaths,NA,248
2020-03-28,United States,total_recovered,Total Recovered,2465
2020-03-28,United States,active_cases,Active Cases,96384
2020-03-28,United States,serious_critical,Serious Critical,2463
2020-03-28,United States,tot_cases_1m_pop,Total Cases per 1m Population,303
2020-03-28,United States,tot_deaths_1m_pop,NA,5
2020-03-28,United States,death_rate,Death Rate,1.54
2020-03-28,Italy,total_cases,Total Cases,86498
2020-03-28,Italy,new_cases,New Cases,5909
2020-03-28,Italy,total_deaths,Total Deaths,9134
2020-03-28,Italy,new_deaths,NA,919
2020-03-28,Italy,total_recovered,Total Recovered,10950
2020-03-28,Italy,active_cases,Active Cases,66414
2020-03-28,Italy,serious_critical,Serious Critical,3732
2020-03-28,Italy,tot_cases_1m_pop,Total Cases per 1m Population,1431
2020-03-28,Italy,tot_deaths_1m_pop,NA,151
2020-03-28,Italy,death_rate,Death Rate,10.56
2020-03-28,Spain,total_cases,Total Cases,64059
2020-03-28,Spain,new_cases,New Cases,6273
2020-03-28,Spain,total_deaths,Total Deaths,4934
2020-03-28,Spain,new_deaths,NA,569
2020-03-28,Spain,total_recovered,Total Recovered,9357
2020-03-28,Spain,active_cases,Active Cases,49768
2020-03-28,Spain,serious_critical,Serious Critical,4165
2020-03-28,Spain,tot_cases_1m_pop,Total Cases per 1m Population,1370
2020-03-28,Spain,tot_deaths_1m_pop,NA,106
2020-03-28,Spain,death_rate,Death Rate,7.7
2020-03-28,Germany,total_cases,Total Cases,50871
2020-03-28,Germany,new_cases,New Cases,6933
2020-03-28,Germany,total_deaths,Total Deaths,342
2020-03-28,Germany,new_deaths,NA,75
2020-03-28,Germany,total_recovered,Total Recovered,6658
2020-03-28,Germany,active_cases,Active Cases,43871
2020-03-28,Germany,serious_critical,Serious Critical,23
2020-03-28,Germany,tot_cases_1m_pop,Total Cases per 1m Population,607
2020-03-28,Germany,tot_deaths_1m_pop,NA,4
2020-03-28,Germany,death_rate,Death Rate,0.67
2020-03-28,France,total_cases,Total Cases,32964
2020-03-28,France,new_cases,New Cases,3809
2020-03-28,France,total_deaths,Total Deaths,1995
2020-03-28,France,new_deaths,NA,299
2020-03-28,France,total_recovered,Total Recovered,5700
