tstamp,country,observation,obs_ord,count
2020-03-25,China,total_cases,Total Cases,81171
2020-03-25,China,new_cases,New Cases,78
2020-03-25,China,total_deaths,Total Deaths,3277
2020-03-25,China,new_deaths,NA,7
2020-03-25,China,total_recovered,Total Recovered,73159
2020-03-25,China,active_cases,Active Cases,4735
2020-03-25,China,serious_critical,Serious Critical,1573
2020-03-25,China,tot_cases_1m_pop,Total Cases per 1m Population,56
2020-03-25,China,tot_deaths_1m_pop,NA,2
2020-03-25,China,death_rate,Death Rate,4.04
2020-03-25,Italy,total_cases,Total Cases,69176
2020-03-25,Italy,new_cases,New Cases,5249
2020-03-25,Italy,total_deaths,Total Deaths,6820
2020-03-25,Italy,new_deaths,NA,743
2020-03-25,Italy,total_recovered,Total Recovered,8326
2020-03-25,Italy,active_cases,Active Cases,54030
2020-03-25,Italy,serious_critical,Serious Critical,3393
2020-03-25,Italy,tot_cases_1m_pop,Total Cases per 1m Population,1144
2020-03-25,Italy,tot_deaths_1m_pop,NA,113
2020-03-25,Italy,death_rate,Death Rate,9.86
2020-03-25,United States,total_cases,Total Cases,52400
2020-03-25,United States,new_cases,New Cases,8666
2020-03-25,United States,total_deaths,Total Deaths,673
2020-03-25,United States,new_deaths,NA,120
2020-03-25,United States,total_recovered,Total Recovered,370
2020-03-25,United States,active_cases,Active Cases,51357
2020-03-25,United States,serious_critical,Serious Critical,1175
2020-03-25,United States,tot_cases_1m_pop,Total Cases per 1m Population,158
2020-03-25,United States,tot_deaths_1m_pop,NA,2
2020-03-25,United States,death_rate,Death Rate,1.28
2020-03-25,Spain,total_cases,Total Cases,39676
2020-03-25,Spain,new_cases,New Cases,4540
2020-03-25,Spain,total_deaths,Total Deaths,2800
2020-03-25,Spain,new_deaths,NA,489
2020-03-25,Spain,total_recovered,Total Recovered,3794
2020-03-25,Spain,active_cases,Active Cases,33082
2020-03-25,Spain,serious_critical,Serious Critical,2355
2020-03-25,Spain,tot_cases_1m_pop,Total Cases per 1m Population,849
2020-03-25,Spain,tot_deaths_1m_pop,NA,60
2020-03-25,Spain,death_rate,Death Rate,7.06
2020-03-25,Germany,total_cases,Total Cases,32781
2020-03-25,Germany,new_cases,New Cases,3725
2020-03-25,Germany,total_deaths,Total Deaths,157
2020-03-25,Germany,new_deaths,NA,34
2020-03-25,Germany,total_recovered,Total Recovered,3243
2020-03-25,Germany,active_cases,Active Cases,29381
2020-03-25,Germany,serious_critical,Serious Critical,23
2020-03-25,Germany,tot_cases_1m_pop,Total Cases per 1m Population,391
2020-03-25,Germany,tot_deaths_1m_pop,NA,2
2020-03-25,Germany,death_rate,Death Rate,0.48
2020-03-25,Iran,total_cases,Total Cases,24811
