tstamp,country,observation,obs_ord,count
2020-03-18,China,total_cases,Total Cases,80881
2020-03-18,China,new_cases,New Cases,21
2020-03-18,China,total_deaths,Total Deaths,3226
2020-03-18,China,new_deaths,NA,13
2020-03-18,China,total_recovered,Total Recovered,68715
2020-03-18,China,active_cases,Active Cases,8940
2020-03-18,China,serious_critical,Serious Critical,3226
2020-03-18,China,tot_cases_1m_pop,Total Cases per 1m Population,56.2
2020-03-18,China,death_rate,Death Rate,3.99
2020-03-18,Italy,total_cases,Total Cases,31506
2020-03-18,Italy,new_cases,New Cases,3526
2020-03-18,Italy,total_deaths,Total Deaths,2503
2020-03-18,Italy,new_deaths,NA,345
2020-03-18,Italy,total_recovered,Total Recovered,2941
2020-03-18,Italy,active_cases,Active Cases,26062
2020-03-18,Italy,serious_critical,Serious Critical,2060
2020-03-18,Italy,tot_cases_1m_pop,Total Cases per 1m Population,NA
2020-03-18,Italy,death_rate,Death Rate,7.94
2020-03-18,Iran,total_cases,Total Cases,16169
2020-03-18,Iran,new_cases,New Cases,1178
2020-03-18,Iran,total_deaths,Total Deaths,988
2020-03-18,Iran,new_deaths,NA,135
2020-03-18,Iran,total_recovered,Total Recovered,5389
2020-03-18,Iran,active_cases,Active Cases,9792
2020-03-18,Iran,serious_critical,Serious Critical,NA
2020-03-18,Iran,tot_cases_1m_pop,Total Cases per 1m Population,192.5
2020-03-18,Iran,death_rate,Death Rate,6.11
2020-03-18,Spain,total_cases,Total Cases,11748
2020-03-18,Spain,new_cases,New Cases,1806
2020-03-18,Spain,total_deaths,Total Deaths,533
2020-03-18,Spain,new_deaths,NA,191
2020-03-18,Spain,total_recovered,Total Recovered,1028
2020-03-18,Spain,active_cases,Active Cases,10187
2020-03-18,Spain,serious_critical,Serious Critical,563
2020-03-18,Spain,tot_cases_1m_pop,Total Cases per 1m Population,251.3
2020-03-18,Spain,death_rate,Death Rate,4.54
2020-03-18,Germany,total_cases,Total Cases,9352
2020-03-18,Germany,new_cases,New Cases,2080
2020-03-18,Germany,total_deaths,Total Deaths,24
2020-03-18,Germany,new_deaths,NA,7
2020-03-18,Germany,total_recovered,Total Recovered,67
2020-03-18,Germany,active_cases,Active Cases,9261
2020-03-18,Germany,serious_critical,Serious Critical,2
2020-03-18,Germany,tot_cases_1m_pop,Total Cases per 1m Population,111.6
2020-03-18,Germany,death_rate,Death Rate,0.26
2020-03-18,South Korea,total_cases,Total Cases,8320
2020-03-18,South Korea,new_cases,New Cases,84
2020-03-18,South Korea,total_deaths,Total Deaths,81
2020-03-18,South Korea,new_deaths,NA,6
2020-03-18,South Korea,total_recovered,Total Recovered,1401
2020-03-18,South Korea,active_cases,Active Cases,6838
2020-03-18,South Korea,serious_critical,Serious Critical,59
2020-03-18,South Korea,tot_cases_1m_pop,Total Cases per 1m Population,162.3
2020-03-18,South Korea,death_rate,Death Rate,0.97
