tstamp,country,observation,obs_ord,count
2020-04-09,World,total_cases,Total Cases,NA
2020-04-09,World,new_cases,New Cases,67094
2020-04-09,World,total_deaths,Total Deaths,NA
2020-04-09,World,new_deaths,NA,5697
2020-04-09,World,total_recovered,Total Recovered,319192
2020-04-09,World,active_cases,Active Cases,NA
2020-04-09,World,serious_critical,Serious Critical,48011
2020-04-09,World,tot_cases_1m_pop,Total Cases per 1m Population,192
2020-04-09,World,deaths_1m_pop,NA,11.3
2020-04-09,World,total_tests,NA,NA
2020-04-09,World,tests_1m_pop,NA,NA
2020-04-09,World,death_rate,Death Rate,NA
2020-04-09,United States,total_cases,Total Cases,422369
2020-04-09,United States,new_cases,New Cases,22034
2020-04-09,United States,total_deaths,Total Deaths,14463
2020-04-09,United States,new_deaths,NA,1622
2020-04-09,United States,total_recovered,Total Recovered,22187
2020-04-09,United States,active_cases,Active Cases,385719
2020-04-09,United States,serious_critical,Serious Critical,9225
2020-04-09,United States,tot_cases_1m_pop,Total Cases per 1m Population,1276
2020-04-09,United States,deaths_1m_pop,NA,44
2020-04-09,United States,total_tests,NA,NA
2020-04-09,United States,tests_1m_pop,NA,6611
2020-04-09,United States,death_rate,Death Rate,3.42
2020-04-09,Spain,total_cases,Total Cases,146690
2020-04-09,Spain,new_cases,New Cases,4748
2020-04-09,Spain,total_deaths,Total Deaths,14673
2020-04-09,Spain,new_deaths,NA,628
2020-04-09,Spain,total_recovered,Total Recovered,48021
2020-04-09,Spain,active_cases,Active Cases,83996
2020-04-09,Spain,serious_critical,Serious Critical,7069
2020-04-09,Spain,tot_cases_1m_pop,Total Cases per 1m Population,3137
2020-04-09,Spain,deaths_1m_pop,NA,314
2020-04-09,Spain,total_tests,NA,355000
2020-04-09,Spain,tests_1m_pop,NA,7593
2020-04-09,Spain,death_rate,Death Rate,10
2020-04-09,Italy,total_cases,Total Cases,139422
2020-04-09,Italy,new_cases,New Cases,3836
2020-04-09,Italy,total_deaths,Total Deaths,17669
2020-04-09,Italy,new_deaths,NA,542
2020-04-09,Italy,total_recovered,Total Recovered,26491
2020-04-09,Italy,active_cases,Active Cases,95262
2020-04-09,Italy,serious_critical,Serious Critical,3693
2020-04-09,Italy,tot_cases_1m_pop,Total Cases per 1m Population,2306
2020-04-09,Italy,deaths_1m_pop,NA,292
2020-04-09,Italy,total_tests,NA,807125
2020-04-09,Italy,tests_1m_pop,NA,13349
2020-04-09,Italy,death_rate,Death Rate,12.67
2020-04-09,France,total_cases,Total Cases,112950
2020-04-09,France,new_cases,New Cases,3881
2020-04-09,France,total_deaths,Total Deaths,10869
2020-04-09,France,new_deaths,NA,541
2020-04-09,France,total_recovered,Total Recovered,21254
2020-04-09,France,active_cases,Active Cases,80827
2020-04-09,France,serious_critical,Serious Critical,7148
2020-04-09,France,tot_cases_1m_pop,Total Cases per 1m Population,1730
2020-04-09,France,deaths_1m_pop,NA,167
2020-04-09,France,total_tests,NA,224254
2020-04-09,France,tests_1m_pop,NA,3436
2020-04-09,France,death_rate,Death Rate,9.62
2020-04-09,Germany,total_cases,Total Cases,110698
2020-04-09,Germany,new_cases,New Cases,3035
2020-04-09,Germany,total_deaths,Total Deaths,2192
2020-04-09,Germany,new_deaths,NA,176
2020-04-09,Germany,total_recovered,Total Recovered,36081
2020-04-09,Germany,active_cases,Active Cases,72425
2020-04-09,Germany,serious_critical,Serious Critical,4895
2020-04-09,Germany,tot_cases_1m_pop,Total Cases per 1m Population,1321
2020-04-09,Germany,deaths_1m_pop,NA,26
2020-04-09,Germany,total_tests,NA,918460
2020-04-09,Germany,tests_1m_pop,NA,10962
2020-04-09,Germany,death_rate,Death Rate,1.98
2020-04-09,Iran,total_cases,Total Cases,64586
2020-04-09,Iran,new_cases,New Cases,1997
2020-04-09,Iran,total_deaths,Total Deaths,3993
2020-04-09,Iran,new_deaths,NA,121
2020-04-09,Iran,total_recovered,Total Recovered,29812
2020-04-09,Iran,active_cases,Active Cases,30781
2020-04-09,Iran,serious_critical,Serious Critical,3987
2020-04-09,Iran,tot_cases_1m_pop,Total Cases per 1m Population,769
2020-04-09,Iran,deaths_1m_pop,NA,48
2020-04-09,Iran,total_tests,NA,211136
2020-04-09,Iran,tests_1m_pop,NA,2514
2020-04-09,Iran,death_rate,Death Rate,6.18
2020-04-09,UK,total_cases,Total Cases,60733
2020-04-09,UK,new_cases,New Cases,5491
2020-04-09,UK,total_deaths,Total Deaths,7097
2020-04-09,UK,new_deaths,NA,938
2020-04-09,UK,total_recovered,Total Recovered,135
2020-04-09,UK,active_cases,Active Cases,53501
2020-04-09,UK,serious_critical,Serious Critical,1559
2020-04-09,UK,tot_cases_1m_pop,Total Cases per 1m Population,895
2020-04-09,UK,deaths_1m_pop,NA,105
2020-04-09,UK,total_tests,NA,282074
2020-04-09,UK,tests_1m_pop,NA,4155
2020-04-09,UK,death_rate,Death Rate,11.69
2020-04-09,Turkey,total_cases,Total Cases,38226
2020-04-09,Turkey,new_cases,New Cases,4117
2020-04-09,Turkey,total_deaths,Total Deaths,812
2020-04-09,Turkey,new_deaths,NA,87
2020-04-09,Turkey,total_recovered,Total Recovered,1846
2020-04-09,Turkey,active_cases,Active Cases,35568
2020-04-09,Turkey,serious_critical,Serious Critical,1492
2020-04-09,Turkey,tot_cases_1m_pop,Total Cases per 1m Population,453
2020-04-09,Turkey,deaths_1m_pop,NA,10
2020-04-09,Turkey,total_tests,NA,247768
2020-04-09,Turkey,tests_1m_pop,NA,2938
2020-04-09,Turkey,death_rate,Death Rate,2.12
2020-04-09,Belgium,total_cases,Total Cases,23403
2020-04-09,Belgium,new_cases,New Cases,1209
2020-04-09,Belgium,total_deaths,Total Deaths,2240
2020-04-09,Belgium,new_deaths,NA,205
2020-04-09,Belgium,total_recovered,Total Recovered,4681
2020-04-09,Belgium,active_cases,Active Cases,16482
2020-04-09,Belgium,serious_critical,Serious Critical,1276
2020-04-09,Belgium,tot_cases_1m_pop,Total Cases per 1m Population,2019
2020-04-09,Belgium,deaths_1m_pop,NA,193
2020-04-09,Belgium,total_tests,NA,84248
2020-04-09,Belgium,tests_1m_pop,NA,7269
2020-04-09,Belgium,death_rate,Death Rate,9.57
2020-04-09,Switzerland,total_cases,Total Cases,23248
2020-04-09,Switzerland,new_cases,New Cases,995
2020-04-09,Switzerland,total_deaths,Total Deaths,895
2020-04-09,Switzerland,new_deaths,NA,74
2020-04-09,Switzerland,total_recovered,Total Recovered,9800
2020-04-09,Switzerland,active_cases,Active Cases,12553
2020-04-09,Switzerland,serious_critical,Serious Critical,391
2020-04-09,Switzerland,tot_cases_1m_pop,Total Cases per 1m Population,2686
2020-04-09,Switzerland,deaths_1m_pop,NA,103
2020-04-09,Switzerland,total_tests,NA,171938
2020-04-09,Switzerland,tests_1m_pop,NA,19867
2020-04-09,Switzerland,death_rate,Death Rate,3.85
2020-04-09,Netherlands,total_cases,Total Cases,20549
2020-04-09,Netherlands,new_cases,New Cases,969
2020-04-09,Netherlands,total_deaths,Total Deaths,2248
2020-04-09,Netherlands,new_deaths,NA,147
2020-04-09,Netherlands,total_recovered,Total Recovered,250
