tstamp,country,observation,obs_ord,count
2020-04-04,United States,total_cases,Total Cases,270062
2020-04-04,United States,new_cases,New Cases,25185
2020-04-04,United States,total_deaths,Total Deaths,6927
2020-04-04,United States,new_deaths,NA,857
2020-04-04,United States,total_recovered,Total Recovered,12015
2020-04-04,United States,active_cases,Active Cases,251120
2020-04-04,United States,serious_critical,Serious Critical,5787
2020-04-04,United States,tot_cases_1m_pop,Total Cases per 1m Population,816
2020-04-04,United States,deaths_1m_pop,NA,21
2020-04-04,United States,death_rate,Death Rate,2.56
2020-04-04,Italy,total_cases,Total Cases,119827
2020-04-04,Italy,new_cases,New Cases,4585
2020-04-04,Italy,total_deaths,Total Deaths,14681
2020-04-04,Italy,new_deaths,NA,766
2020-04-04,Italy,total_recovered,Total Recovered,19758
2020-04-04,Italy,active_cases,Active Cases,85388
2020-04-04,Italy,serious_critical,Serious Critical,4068
2020-04-04,Italy,tot_cases_1m_pop,Total Cases per 1m Population,1982
2020-04-04,Italy,deaths_1m_pop,NA,243
2020-04-04,Italy,death_rate,Death Rate,12.25
2020-04-04,Spain,total_cases,Total Cases,117710
2020-04-04,Spain,new_cases,New Cases,5645
2020-04-04,Spain,total_deaths,Total Deaths,11009
2020-04-04,Spain,new_deaths,NA,661
2020-04-04,Spain,total_recovered,Total Recovered,30513
2020-04-04,Spain,active_cases,Active Cases,76188
2020-04-04,Spain,serious_critical,Serious Critical,6416
2020-04-04,Spain,tot_cases_1m_pop,Total Cases per 1m Population,2518
2020-04-04,Spain,deaths_1m_pop,NA,235
2020-04-04,Spain,death_rate,Death Rate,9.35
2020-04-04,Germany,total_cases,Total Cases,90964
2020-04-04,Germany,new_cases,New Cases,6170
2020-04-04,Germany,total_deaths,Total Deaths,1234
2020-04-04,Germany,new_deaths,NA,127
2020-04-04,Germany,total_recovered,Total Recovered,24575
2020-04-04,Germany,active_cases,Active Cases,65155
2020-04-04,Germany,serious_critical,Serious Critical,3936
2020-04-04,Germany,tot_cases_1m_pop,Total Cases per 1m Population,1086
2020-04-04,Germany,deaths_1m_pop,NA,15
2020-04-04,Germany,death_rate,Death Rate,1.36
2020-04-04,France,total_cases,Total Cases,64338
2020-04-04,France,new_cases,New Cases,5233
2020-04-04,France,total_deaths,Total Deaths,6507
2020-04-04,France,new_deaths,NA,1120
2020-04-04,France,total_recovered,Total Recovered,14008
2020-04-04,France,active_cases,Active Cases,43823
2020-04-04,France,serious_critical,Serious Critical,6662
2020-04-04,France,tot_cases_1m_pop,Total Cases per 1m Population,986
2020-04-04,France,deaths_1m_pop,NA,100
2020-04-04,France,death_rate,Death Rate,10.11
2020-04-04,Iran,total_cases,Total Cases,53183
2020-04-04,Iran,new_cases,New Cases,2715
2020-04-04,Iran,total_deaths,Total Deaths,3294
2020-04-04,Iran,new_deaths,NA,134
2020-04-04,Iran,total_recovered,Total Recovered,17935
2020-04-04,Iran,active_cases,Active Cases,31954
2020-04-04,Iran,serious_critical,Serious Critical,4035
2020-04-04,Iran,tot_cases_1m_pop,Total Cases per 1m Population,633
2020-04-04,Iran,deaths_1m_pop,NA,39
2020-04-04,Iran,death_rate,Death Rate,6.19
2020-04-04,UK,total_cases,Total Cases,38168
2020-04-04,UK,new_cases,New Cases,4450
2020-04-04,UK,total_deaths,Total Deaths,3605
2020-04-04,UK,new_deaths,NA,684
2020-04-04,UK,total_recovered,Total Recovered,135
2020-04-04,UK,active_cases,Active Cases,34428
2020-04-04,UK,serious_critical,Serious Critical,163
2020-04-04,UK,tot_cases_1m_pop,Total Cases per 1m Population,562
2020-04-04,UK,deaths_1m_pop,NA,53
2020-04-04,UK,death_rate,Death Rate,9.45
2020-04-04,Turkey,total_cases,Total Cases,20921
2020-04-04,Turkey,new_cases,New Cases,2786
2020-04-04,Turkey,total_deaths,Total Deaths,425
2020-04-04,Turkey,new_deaths,NA,69
2020-04-04,Turkey,total_recovered,Total Recovered,484
2020-04-04,Turkey,active_cases,Active Cases,20012
2020-04-04,Turkey,serious_critical,Serious Critical,1251
2020-04-04,Turkey,tot_cases_1m_pop,Total Cases per 1m Population,248
2020-04-04,Turkey,deaths_1m_pop,NA,5
2020-04-04,Turkey,death_rate,Death Rate,2.03
2020-04-04,Switzerland,total_cases,Total Cases,19606
2020-04-04,Switzerland,new_cases,New Cases,779
2020-04-04,Switzerland,total_deaths,Total Deaths,591
2020-04-04,Switzerland,new_deaths,NA,55
2020-04-04,Switzerland,total_recovered,Total Recovered,4846
2020-04-04,Switzerland,active_cases,Active Cases,14169
2020-04-04,Switzerland,serious_critical,Serious Critical,348
2020-04-04,Switzerland,tot_cases_1m_pop,Total Cases per 1m Population,2265
2020-04-04,Switzerland,deaths_1m_pop,NA,68
2020-04-04,Switzerland,death_rate,Death Rate,3.01
2020-04-04,Belgium,total_cases,Total Cases,16770
2020-04-04,Belgium,new_cases,New Cases,1422
2020-04-04,Belgium,total_deaths,Total Deaths,1143
2020-04-04,Belgium,new_deaths,NA,132
