tstamp,country,observation,obs_ord,count
2020-04-07,World,total_cases,Total Cases,NA
2020-04-07,World,new_cases,New Cases,64112
2020-04-07,World,total_deaths,Total Deaths,NA
2020-04-07,World,new_deaths,NA,4740
2020-04-07,World,total_recovered,Total Recovered,277737
2020-04-07,World,active_cases,Active Cases,985072
2020-04-07,World,serious_critical,Serious Critical,46538
2020-04-07,World,tot_cases_1m_pop,Total Cases per 1m Population,172
2020-04-07,World,deaths_1m_pop,NA,9.5
2020-04-07,World,total_tests,NA,NA
2020-04-07,World,tests_1m_pop,NA,NA
2020-04-07,World,death_rate,Death Rate,NA
2020-04-07,United States,total_cases,Total Cases,362305
2020-04-07,United States,new_cases,New Cases,25632
2020-04-07,United States,total_deaths,Total Deaths,10714
2020-04-07,United States,new_deaths,NA,1098
2020-04-07,United States,total_recovered,Total Recovered,19308
2020-04-07,United States,active_cases,Active Cases,332283
2020-04-07,United States,serious_critical,Serious Critical,8876
2020-04-07,United States,tot_cases_1m_pop,Total Cases per 1m Population,1095
2020-04-07,United States,deaths_1m_pop,NA,32
2020-04-07,United States,total_tests,NA,NA
2020-04-07,United States,tests_1m_pop,NA,5669
2020-04-07,United States,death_rate,Death Rate,2.96
2020-04-07,Spain,total_cases,Total Cases,135032
2020-04-07,Spain,new_cases,New Cases,3386
2020-04-07,Spain,total_deaths,Total Deaths,13169
2020-04-07,Spain,new_deaths,NA,528
2020-04-07,Spain,total_recovered,Total Recovered,40437
2020-04-07,Spain,active_cases,Active Cases,81426
2020-04-07,Spain,serious_critical,Serious Critical,6931
2020-04-07,Spain,tot_cases_1m_pop,Total Cases per 1m Population,2888
2020-04-07,Spain,deaths_1m_pop,NA,282
2020-04-07,Spain,total_tests,NA,355000
2020-04-07,Spain,tests_1m_pop,NA,7593
2020-04-07,Spain,death_rate,Death Rate,9.75
2020-04-07,Italy,total_cases,Total Cases,132547
2020-04-07,Italy,new_cases,New Cases,3599
2020-04-07,Italy,total_deaths,Total Deaths,16523
2020-04-07,Italy,new_deaths,NA,636
2020-04-07,Italy,total_recovered,Total Recovered,22837
2020-04-07,Italy,active_cases,Active Cases,93187
2020-04-07,Italy,serious_critical,Serious Critical,3898
2020-04-07,Italy,tot_cases_1m_pop,Total Cases per 1m Population,2192
2020-04-07,Italy,deaths_1m_pop,NA,273
2020-04-07,Italy,total_tests,NA,721732
2020-04-07,Italy,tests_1m_pop,NA,11937
2020-04-07,Italy,death_rate,Death Rate,12.47
2020-04-07,Germany,total_cases,Total Cases,102024
2020-04-07,Germany,new_cases,New Cases,1901
2020-04-07,Germany,total_deaths,Total Deaths,1695
2020-04-07,Germany,new_deaths,NA,111
2020-04-07,Germany,total_recovered,Total Recovered,28700
2020-04-07,Germany,active_cases,Active Cases,71629
2020-04-07,Germany,serious_critical,Serious Critical,3936
2020-04-07,Germany,tot_cases_1m_pop,Total Cases per 1m Population,1218
2020-04-07,Germany,deaths_1m_pop,NA,20
2020-04-07,Germany,total_tests,NA,918460
2020-04-07,Germany,tests_1m_pop,NA,10962
2020-04-07,Germany,death_rate,Death Rate,1.66
2020-04-07,France,total_cases,Total Cases,98010
2020-04-07,France,new_cases,New Cases,5171
2020-04-07,France,total_deaths,Total Deaths,8911
2020-04-07,France,new_deaths,NA,833
2020-04-07,France,total_recovered,Total Recovered,17250
2020-04-07,France,active_cases,Active Cases,71849
2020-04-07,France,serious_critical,Serious Critical,7072
2020-04-07,France,tot_cases_1m_pop,Total Cases per 1m Population,1502
2020-04-07,France,deaths_1m_pop,NA,137
2020-04-07,France,total_tests,NA,224254
2020-04-07,France,tests_1m_pop,NA,3436
2020-04-07,France,death_rate,Death Rate,9.09
2020-04-07,Iran,total_cases,Total Cases,60500
2020-04-07,Iran,new_cases,New Cases,2274
2020-04-07,Iran,total_deaths,Total Deaths,3739
2020-04-07,Iran,new_deaths,NA,136
2020-04-07,Iran,total_recovered,Total Recovered,24236
2020-04-07,Iran,active_cases,Active Cases,32525
2020-04-07,Iran,serious_critical,Serious Critical,4083
2020-04-07,Iran,tot_cases_1m_pop,Total Cases per 1m Population,720
2020-04-07,Iran,deaths_1m_pop,NA,45
2020-04-07,Iran,total_tests,NA,186000
2020-04-07,Iran,tests_1m_pop,NA,2214
2020-04-07,Iran,death_rate,Death Rate,6.18
2020-04-07,UK,total_cases,Total Cases,51608
2020-04-07,UK,new_cases,New Cases,3802
2020-04-07,UK,total_deaths,Total Deaths,5373
2020-04-07,UK,new_deaths,NA,439
2020-04-07,UK,total_recovered,Total Recovered,135
2020-04-07,UK,active_cases,Active Cases,46100
2020-04-07,UK,serious_critical,Serious Critical,1559
2020-04-07,UK,tot_cases_1m_pop,Total Cases per 1m Population,760
2020-04-07,UK,deaths_1m_pop,NA,79
2020-04-07,UK,total_tests,NA,252958
2020-04-07,UK,tests_1m_pop,NA,3726
2020-04-07,UK,death_rate,Death Rate,10.41
2020-04-07,Turkey,total_cases,Total Cases,30217
2020-04-07,Turkey,new_cases,New Cases,3148
2020-04-07,Turkey,total_deaths,Total Deaths,649
2020-04-07,Turkey,new_deaths,NA,75
2020-04-07,Turkey,total_recovered,Total Recovered,1326
2020-04-07,Turkey,active_cases,Active Cases,28242
2020-04-07,Turkey,serious_critical,Serious Critical,1415
2020-04-07,Turkey,tot_cases_1m_pop,Total Cases per 1m Population,358
2020-04-07,Turkey,deaths_1m_pop,NA,8
2020-04-07,Turkey,total_tests,NA,202845
2020-04-07,Turkey,tests_1m_pop,NA,2405
2020-04-07,Turkey,death_rate,Death Rate,2.15
2020-04-07,Switzerland,total_cases,Total Cases,21657
2020-04-07,Switzerland,new_cases,New Cases,557
2020-04-07,Switzerland,total_deaths,Total Deaths,765
2020-04-07,Switzerland,new_deaths,NA,50
2020-04-07,Switzerland,total_recovered,Total Recovered,8056
2020-04-07,Switzerland,active_cases,Active Cases,12836
2020-04-07,Switzerland,serious_critical,Serious Critical,391
2020-04-07,Switzerland,tot_cases_1m_pop,Total Cases per 1m Population,2502
