tstamp,country,observation,obs_ord,count
2020-03-31,United States,total_cases,Total Cases,158550
2020-03-31,United States,new_cases,New Cases,15059
2020-03-31,United States,total_deaths,Total Deaths,2938
2020-03-31,United States,new_deaths,NA,355
2020-03-31,United States,total_recovered,Total Recovered,5211
2020-03-31,United States,active_cases,Active Cases,150401
2020-03-31,United States,serious_critical,Serious Critical,3402
2020-03-31,United States,tot_cases_1m_pop,Total Cases per 1m Population,479
2020-03-31,United States,deaths_1m_pop,NA,9
2020-03-31,United States,reported1st_case,NA,NA
2020-03-31,United States,death_rate,Death Rate,1.85
2020-03-31,Italy,total_cases,Total Cases,101739
2020-03-31,Italy,new_cases,New Cases,4050
2020-03-31,Italy,total_deaths,Total Deaths,11591
2020-03-31,Italy,new_deaths,NA,812
2020-03-31,Italy,total_recovered,Total Recovered,14620
2020-03-31,Italy,active_cases,Active Cases,75528
2020-03-31,Italy,serious_critical,Serious Critical,3981
2020-03-31,Italy,tot_cases_1m_pop,Total Cases per 1m Population,1683
2020-03-31,Italy,deaths_1m_pop,NA,192
2020-03-31,Italy,reported1st_case,NA,NA
2020-03-31,Italy,death_rate,Death Rate,11.39
2020-03-31,Spain,total_cases,Total Cases,85195
2020-03-31,Spain,new_cases,New Cases,5085
2020-03-31,Spain,total_deaths,Total Deaths,7340
2020-03-31,Spain,new_deaths,NA,537
2020-03-31,Spain,total_recovered,Total Recovered,16780
2020-03-31,Spain,active_cases,Active Cases,61075
2020-03-31,Spain,serious_critical,Serious Critical,5231
2020-03-31,Spain,tot_cases_1m_pop,Total Cases per 1m Population,1822
2020-03-31,Spain,deaths_1m_pop,NA,157
2020-03-31,Spain,reported1st_case,NA,NA
2020-03-31,Spain,death_rate,Death Rate,8.62
2020-03-31,Germany,total_cases,Total Cases,63929
2020-03-31,Germany,new_cases,New Cases,1494
2020-03-31,Germany,total_deaths,Total Deaths,560
2020-03-31,Germany,new_deaths,NA,19
2020-03-31,Germany,total_recovered,Total Recovered,9211
