tstamp,country,observation,obs_ord,count
2020-03-24,China,total_cases,Total Cases,81093
2020-03-24,China,new_cases,New Cases,39
2020-03-24,China,total_deaths,Total Deaths,3270
2020-03-24,China,new_deaths,NA,9
2020-03-24,China,total_recovered,Total Recovered,72703
2020-03-24,China,active_cases,Active Cases,5120
2020-03-24,China,serious_critical,Serious Critical,1749
2020-03-24,China,tot_cases_1m_pop,Total Cases per 1m Population,56
2020-03-24,China,death_rate,Death Rate,4.03
2020-03-24,Italy,total_cases,Total Cases,63927
2020-03-24,Italy,new_cases,New Cases,4789
2020-03-24,Italy,total_deaths,Total Deaths,6077
2020-03-24,Italy,new_deaths,NA,601
2020-03-24,Italy,total_recovered,Total Recovered,7432
2020-03-24,Italy,active_cases,Active Cases,50418
2020-03-24,Italy,serious_critical,Serious Critical,3204
2020-03-24,Italy,tot_cases_1m_pop,Total Cases per 1m Population,1057
2020-03-24,Italy,death_rate,Death Rate,9.51
2020-03-24,United States,total_cases,Total Cases,42032
2020-03-24,United States,new_cases,New Cases,8486
2020-03-24,United States,total_deaths,Total Deaths,508
2020-03-24,United States,new_deaths,NA,89
2020-03-24,United States,total_recovered,Total Recovered,187
2020-03-24,United States,active_cases,Active Cases,41337
2020-03-24,United States,serious_critical,Serious Critical,1040
2020-03-24,United States,tot_cases_1m_pop,Total Cases per 1m Population,127
2020-03-24,United States,death_rate,Death Rate,1.21
2020-03-24,Spain,total_cases,Total Cases,33089
2020-03-24,Spain,new_cases,New Cases,4321
2020-03-24,Spain,total_deaths,Total Deaths,2207
2020-03-24,Spain,new_deaths,NA,435
2020-03-24,Spain,total_recovered,Total Recovered,3355
2020-03-24,Spain,active_cases,Active Cases,27527
2020-03-24,Spain,serious_critical,Serious Critical,2355
2020-03-24,Spain,tot_cases_1m_pop,Total Cases per 1m Population,708
2020-03-24,Spain,death_rate,Death Rate,6.67
2020-03-24,Germany,total_cases,Total Cases,29056
2020-03-24,Germany,new_cases,New Cases,4183
2020-03-24,Germany,total_deaths,Total Deaths,118
2020-03-24,Germany,new_deaths,NA,24
2020-03-24,Germany,total_recovered,Total Recovered,422
2020-03-24,Germany,active_cases,Active Cases,28516
2020-03-24,Germany,serious_critical,Serious Critical,23
2020-03-24,Germany,tot_cases_1m_pop,Total Cases per 1m Population,347
2020-03-24,Germany,death_rate,Death Rate,0.41
2020-03-24,Iran,total_cases,Total Cases,23049
2020-03-24,Iran,new_cases,New Cases,1411
2020-03-24,Iran,total_deaths,Total Deaths,1812
2020-03-24,Iran,new_deaths,NA,127
2020-03-24,Iran,total_recovered,Total Recovered,8376
2020-03-24,Iran,active_cases,Active Cases,12861
2020-03-24,Iran,serious_critical,Serious Critical,NA
2020-03-24,Iran,tot_cases_1m_pop,Total Cases per 1m Population,274
2020-03-24,Iran,death_rate,Death Rate,7.86
2020-03-24,France,total_cases,Total Cases,19856
2020-03-24,France,new_cases,New Cases,3838
2020-03-24,France,total_deaths,Total Deaths,860
2020-03-24,France,new_deaths,NA,186
2020-03-24,France,total_recovered,Total Recovered,2200
2020-03-24,France,active_cases,Active Cases,16796
2020-03-24,France,serious_critical,Serious Critical,2082
2020-03-24,France,tot_cases_1m_pop,Total Cases per 1m Population,304
2020-03-24,France,death_rate,Death Rate,4.33
2020-03-24,South Korea,total_cases,Total Cases,8961
2020-03-24,South Korea,new_cases,New Cases,64
2020-03-24,South Korea,total_deaths,Total Deaths,111
2020-03-24,South Korea,new_deaths,NA,7
2020-03-24,South Korea,total_recovered,Total Recovered,3166
2020-03-24,South Korea,active_cases,Active Cases,5684
2020-03-24,South Korea,serious_critical,Serious Critical,59
2020-03-24,South Korea,tot_cases_1m_pop,Total Cases per 1m Population,175
2020-03-24,South Korea,death_rate,Death Rate,1.24
2020-03-24,Switzerland,total_cases,Total Cases,8547
2020-03-24,Switzerland,new_cases,New Cases,1073
2020-03-24,Switzerland,total_deaths,Total Deaths,118
2020-03-24,Switzerland,new_deaths,NA,20
2020-03-24,Switzerland,total_recovered,Total Recovered,131
2020-03-24,Switzerland,active_cases,Active Cases,8298
2020-03-24,Switzerland,serious_critical,Serious Critical,141
2020-03-24,Switzerland,tot_cases_1m_pop,Total Cases per 1m Population,988
2020-03-24,Switzerland,death_rate,Death Rate,1.38
2020-03-24,UK,total_cases,Total Cases,6650
2020-03-24,UK,new_cases,New Cases,967
2020-03-24,UK,total_deaths,Total Deaths,335
