tstamp,country,observation,obs_ord,count
2020-04-08,World,total_cases,Total Cases,NA
2020-04-08,World,new_cases,New Cases,70422
2020-04-08,World,total_deaths,Total Deaths,NA
2020-04-08,World,new_deaths,NA,6671
2020-04-08,World,total_recovered,Total Recovered,301398
2020-04-08,World,active_cases,Active Cases,NA
2020-04-08,World,serious_critical,Serious Critical,47925
2020-04-08,World,tot_cases_1m_pop,Total Cases per 1m Population,182
2020-04-08,World,deaths_1m_pop,NA,10.4
2020-04-08,World,total_tests,NA,NA
2020-04-08,World,tests_1m_pop,NA,NA
2020-04-08,World,death_rate,Death Rate,NA
2020-04-08,United States,total_cases,Total Cases,390414
2020-04-08,United States,new_cases,New Cases,23410
2020-04-08,United States,total_deaths,Total Deaths,12474
2020-04-08,United States,new_deaths,NA,1603
2020-04-08,United States,total_recovered,Total Recovered,21488
2020-04-08,United States,active_cases,Active Cases,356452
2020-04-08,United States,serious_critical,Serious Critical,9169
2020-04-08,United States,tot_cases_1m_pop,Total Cases per 1m Population,1179
2020-04-08,United States,deaths_1m_pop,NA,38
2020-04-08,United States,total_tests,NA,NA
2020-04-08,United States,tests_1m_pop,NA,6188
2020-04-08,United States,death_rate,Death Rate,3.2
2020-04-08,Spain,total_cases,Total Cases,140511
2020-04-08,Spain,new_cases,New Cases,3836
2020-04-08,Spain,total_deaths,Total Deaths,13897
2020-04-08,Spain,new_deaths,NA,556
2020-04-08,Spain,total_recovered,Total Recovered,43208
2020-04-08,Spain,active_cases,Active Cases,83406
2020-04-08,Spain,serious_critical,Serious Critical,7069
2020-04-08,Spain,tot_cases_1m_pop,Total Cases per 1m Population,3005
2020-04-08,Spain,deaths_1m_pop,NA,297
2020-04-08,Spain,total_tests,NA,355000
2020-04-08,Spain,tests_1m_pop,NA,7593
2020-04-08,Spain,death_rate,Death Rate,9.89
2020-04-08,Italy,total_cases,Total Cases,135586
2020-04-08,Italy,new_cases,New Cases,3039
2020-04-08,Italy,total_deaths,Total Deaths,17127
2020-04-08,Italy,new_deaths,NA,604
2020-04-08,Italy,total_recovered,Total Recovered,24392
2020-04-08,Italy,active_cases,Active Cases,94067
2020-04-08,Italy,serious_critical,Serious Critical,3792
2020-04-08,Italy,tot_cases_1m_pop,Total Cases per 1m Population,2243
2020-04-08,Italy,deaths_1m_pop,NA,283
2020-04-08,Italy,total_tests,NA,755445
2020-04-08,Italy,tests_1m_pop,NA,12495
2020-04-08,Italy,death_rate,Death Rate,12.63
2020-04-08,France,total_cases,Total Cases,109069
2020-04-08,France,new_cases,New Cases,11059
2020-04-08,France,total_deaths,Total Deaths,10328
2020-04-08,France,new_deaths,NA,1417
2020-04-08,France,total_recovered,Total Recovered,19337
2020-04-08,France,active_cases,Active Cases,79404
2020-04-08,France,serious_critical,Serious Critical,7131
2020-04-08,France,tot_cases_1m_pop,Total Cases per 1m Population,1671
2020-04-08,France,deaths_1m_pop,NA,158
2020-04-08,France,total_tests,NA,224254
2020-04-08,France,tests_1m_pop,NA,3436
2020-04-08,France,death_rate,Death Rate,9.47
2020-04-08,Germany,total_cases,Total Cases,107458
2020-04-08,Germany,new_cases,New Cases,4083
