tstamp,country,observation,obs_ord,count
2020-03-26,China,total_cases,Total Cases,81218
2020-03-26,China,new_cases,New Cases,47
2020-03-26,China,total_deaths,Total Deaths,3281
2020-03-26,China,new_deaths,NA,4
2020-03-26,China,total_recovered,Total Recovered,73650
2020-03-26,China,active_cases,Active Cases,4287
2020-03-26,China,serious_critical,Serious Critical,1399
2020-03-26,China,tot_cases_1m_pop,Total Cases per 1m Population,56
2020-03-26,China,tot_deaths_1m_pop,NA,2
2020-03-26,China,death_rate,Death Rate,4.04
2020-03-26,Italy,total_cases,Total Cases,74386
2020-03-26,Italy,new_cases,New Cases,5210
2020-03-26,Italy,total_deaths,Total Deaths,7503
2020-03-26,Italy,new_deaths,NA,683
2020-03-26,Italy,total_recovered,Total Recovered,9362
2020-03-26,Italy,active_cases,Active Cases,57521
2020-03-26,Italy,serious_critical,Serious Critical,3489
2020-03-26,Italy,tot_cases_1m_pop,Total Cases per 1m Population,1230
2020-03-26,Italy,tot_deaths_1m_pop,NA,124
2020-03-26,Italy,death_rate,Death Rate,10.09
2020-03-26,United States,total_cases,Total Cases,64115
2020-03-26,United States,new_cases,New Cases,9259
2020-03-26,United States,total_deaths,Total Deaths,894
2020-03-26,United States,new_deaths,NA,114
2020-03-26,United States,total_recovered,Total Recovered,393
2020-03-26,United States,active_cases,Active Cases,62828
2020-03-26,United States,serious_critical,Serious Critical,1400
2020-03-26,United States,tot_cases_1m_pop,Total Cases per 1m Population,194
2020-03-26,United States,tot_deaths_1m_pop,NA,3
2020-03-26,United States,death_rate,Death Rate,1.39
2020-03-26,Spain,total_cases,Total Cases,47611
2020-03-26,Spain,new_cases,New Cases,5553
2020-03-26,Spain,total_deaths,Total Deaths,3445
2020-03-26,Spain,new_deaths,NA,454
2020-03-26,Spain,total_recovered,Total Recovered,5367
2020-03-26,Spain,active_cases,Active Cases,38799
2020-03-26,Spain,serious_critical,Serious Critical,2636
2020-03-26,Spain,tot_cases_1m_pop,Total Cases per 1m Population,1018
2020-03-26,Spain,tot_deaths_1m_pop,NA,74
2020-03-26,Spain,death_rate,Death Rate,7.24
2020-03-26,Germany,total_cases,Total Cases,37323
2020-03-26,Germany,new_cases,New Cases,4332
2020-03-26,Germany,total_deaths,Total Deaths,206
2020-03-26,Germany,new_deaths,NA,47
2020-03-26,Germany,total_recovered,Total Recovered,3547
2020-03-26,Germany,active_cases,Active Cases,33570
2020-03-26,Germany,serious_critical,Serious Critical,23
2020-03-26,Germany,tot_cases_1m_pop,Total Cases per 1m Population,445
2020-03-26,Germany,tot_deaths_1m_pop,NA,2
2020-03-26,Germany,death_rate,Death Rate,0.55
2020-03-26,Iran,total_cases,Total Cases,27017
2020-03-26,Iran,new_cases,New Cases,2206
2020-03-26,Iran,total_deaths,Total Deaths,2077
2020-03-26,Iran,new_deaths,NA,143
2020-03-26,Iran,total_recovered,Total Recovered,9625
2020-03-26,Iran,active_cases,Active Cases,15315
2020-03-26,Iran,serious_critical,Serious Critical,NA
2020-03-26,Iran,tot_cases_1m_pop,Total Cases per 1m Population,322
2020-03-26,Iran,tot_deaths_1m_pop,NA,25
2020-03-26,Iran,death_rate,Death Rate,7.69
2020-03-26,France,total_cases,Total Cases,25233
2020-03-26,France,new_cases,New Cases,2929
2020-03-26,France,total_deaths,Total Deaths,1331
2020-03-26,France,new_deaths,NA,231
2020-03-26,France,total_recovered,Total Recovered,3900
2020-03-26,France,active_cases,Active Cases,20002
2020-03-26,France,serious_critical,Serious Critical,2827
2020-03-26,France,tot_cases_1m_pop,Total Cases per 1m Population,387
2020-03-26,France,tot_deaths_1m_pop,NA,20
2020-03-26,France,death_rate,Death Rate,5.27
2020-03-26,Switzerland,total_cases,Total Cases,10897
2020-03-26,Switzerland,new_cases,New Cases,1020
2020-03-26,Switzerland,total_deaths,Total Deaths,153
2020-03-26,Switzerland,new_deaths,NA,31
2020-03-26,Switzerland,total_recovered,Total Recovered,131
2020-03-26,Switzerland,active_cases,Active Cases,10613
2020-03-26,Switzerland,serious_critical,Serious Critical,141
2020-03-26,Switzerland,tot_cases_1m_pop,Total Cases per 1m Population,1259
2020-03-26,Switzerland,tot_deaths_1m_pop,NA,18
2020-03-26,Switzerland,death_rate,Death Rate,1.4
2020-03-26,South Korea,total_cases,Total Cases,9137
2020-03-26,South Korea,new_cases,New Cases,100
2020-03-26,South Korea,total_deaths,Total Deaths,126
2020-03-26,South Korea,new_deaths,NA,6
2020-03-26,South Korea,total_recovered,Total Recovered,3730
2020-03-26,South Korea,active_cases,Active Cases,5281
2020-03-26,South Korea,serious_critical,Serious Critical,59
2020-03-26,South Korea,tot_cases_1m_pop,Total Cases per 1m Population,178
2020-03-26,South Korea,tot_deaths_1m_pop,NA,2
2020-03-26,South Korea,death_rate,Death Rate,1.38
2020-03-26,UK,total_cases,Total Cases,8264
2020-03-26,UK,new_cases,New Cases,187
2020-03-26,UK,total_deaths,Total Deaths,435
2020-03-26,UK,new_deaths,NA,13
2020-03-26,UK,total_recovered,Total Recovered,135
2020-03-26,UK,active_cases,Active Cases,7694
2020-03-26,UK,serious_critical,Serious Critical,20
2020-03-26,UK,tot_cases_1m_pop,Total Cases per 1m Population,122
2020-03-26,UK,tot_deaths_1m_pop,NA,6
2020-03-26,UK,death_rate,Death Rate,5.26
2020-03-26,Netherlands,total_cases,Total Cases,6412
2020-03-26,Netherlands,new_cases,New Cases,852
2020-03-26,Netherlands,total_deaths,Total Deaths,356
2020-03-26,Netherlands,new_deaths,NA,80
2020-03-26,Netherlands,total_recovered,Total Recovered,3
2020-03-26,Netherlands,active_cases,Active Cases,6053
2020-03-26,Netherlands,serious_critical,Serious Critical,582
2020-03-26,Netherlands,tot_cases_1m_pop,Total Cases per 1m Population,374
2020-03-26,Netherlands,tot_deaths_1m_pop,NA,21
2020-03-26,Netherlands,death_rate,Death Rate,5.55
2020-03-26,Austria,total_cases,Total Cases,5588
2020-03-26,Austria,new_cases,New Cases,305
2020-03-26,Austria,total_deaths,Total Deaths,30
2020-03-26,Austria,new_deaths,NA,2
2020-03-26,Austria,total_recovered,Total Recovered,9
2020-03-26,Austria,active_cases,Active Cases,5549
2020-03-26,Austria,serious_critical,Serious Critical,28
2020-03-26,Austria,tot_cases_1m_pop,Total Cases per 1m Population,620
2020-03-26,Austria,tot_deaths_1m_pop,NA,3
2020-03-26,Austria,death_rate,Death Rate,0.54
2020-03-26,Belgium,total_cases,Total Cases,4937
2020-03-26,Belgium,new_cases,New Cases,668
2020-03-26,Belgium,total_deaths,Total Deaths,178
2020-03-26,Belgium,new_deaths,NA,56
2020-03-26,Belgium,total_recovered,Total Recovered,547
2020-03-26,Belgium,active_cases,Active Cases,4212
2020-03-26,Belgium,serious_critical,Serious Critical,474
2020-03-26,Belgium,tot_cases_1m_pop,Total Cases per 1m Population,426
2020-03-26,Belgium,tot_deaths_1m_pop,NA,15
2020-03-26,Belgium,death_rate,Death Rate,3.61
2020-03-26,Canada,total_cases,Total Cases,3290
2020-03-26,Canada,new_cases,New Cases,498
2020-03-26,Canada,total_deaths,Total Deaths,30
2020-03-26,Canada,new_deaths,NA,4
2020-03-26,Canada,total_recovered,Total Recovered,185
2020-03-26,Canada,active_cases,Active Cases,3075
2020-03-26,Canada,serious_critical,Serious Critical,1
2020-03-26,Canada,tot_cases_1m_pop,Total Cases per 1m Population,87
2020-03-26,Canada,tot_deaths_1m_pop,NA,0.8
2020-03-26,Canada,death_rate,Death Rate,0.91
2020-03-26,Norway,total_cases,Total Cases,3066
2020-03-26,Norway,new_cases,New Cases,200
2020-03-26,Norway,total_deaths,Total Deaths,14
2020-03-26,Norway,new_deaths,NA,2
2020-03-26,Norway,total_recovered,Total Recovered,6
2020-03-26,Norway,active_cases,Active Cases,3046
2020-03-26,Norway,serious_critical,Serious Critical,57
2020-03-26,Norway,tot_cases_1m_pop,Total Cases per 1m Population,566
2020-03-26,Norway,tot_deaths_1m_pop,NA,3
2020-03-26,Norway,death_rate,Death Rate,0.46
2020-03-26,Portugal,total_cases,Total Cases,2995
