tstamp,country,observation,obs_ord,count
2020-03-19,China,total_cases,Total Cases,80894
2020-03-19,China,new_cases,New Cases,NA
2020-03-19,China,total_deaths,Total Deaths,3237
2020-03-19,China,new_deaths,NA,NA
2020-03-19,China,total_recovered,Total Recovered,69614
2020-03-19,China,active_cases,Active Cases,8043
2020-03-19,China,serious_critical,Serious Critical,2622
2020-03-19,China,tot_cases_1m_pop,Total Cases per 1m Population,56
2020-03-19,China,death_rate,Death Rate,4
2020-03-19,Italy,total_cases,Total Cases,35713
2020-03-19,Italy,new_cases,New Cases,4207
2020-03-19,Italy,total_deaths,Total Deaths,2978
2020-03-19,Italy,new_deaths,NA,475
2020-03-19,Italy,total_recovered,Total Recovered,4025
2020-03-19,Italy,active_cases,Active Cases,28710
2020-03-19,Italy,serious_critical,Serious Critical,2257
2020-03-19,Italy,tot_cases_1m_pop,Total Cases per 1m Population,591
2020-03-19,Italy,death_rate,Death Rate,8.34
2020-03-19,Iran,total_cases,Total Cases,17361
2020-03-19,Iran,new_cases,New Cases,1192
2020-03-19,Iran,total_deaths,Total Deaths,1135
2020-03-19,Iran,new_deaths,NA,147
2020-03-19,Iran,total_recovered,Total Recovered,5710
2020-03-19,Iran,active_cases,Active Cases,10516
2020-03-19,Iran,serious_critical,Serious Critical,NA
2020-03-19,Iran,tot_cases_1m_pop,Total Cases per 1m Population,207
2020-03-19,Iran,death_rate,Death Rate,6.54
2020-03-19,Spain,total_cases,Total Cases,14769
2020-03-19,Spain,new_cases,New Cases,2943
2020-03-19,Spain,total_deaths,Total Deaths,638
2020-03-19,Spain,new_deaths,NA,105
2020-03-19,Spain,total_recovered,Total Recovered,1081
2020-03-19,Spain,active_cases,Active Cases,13050
2020-03-19,Spain,serious_critical,Serious Critical,800
2020-03-19,Spain,tot_cases_1m_pop,Total Cases per 1m Population,316
2020-03-19,Spain,death_rate,Death Rate,4.32
2020-03-19,Germany,total_cases,Total Cases,12327
2020-03-19,Germany,new_cases,New Cases,2960
2020-03-19,Germany,total_deaths,Total Deaths,28
2020-03-19,Germany,new_deaths,NA,2
2020-03-19,Germany,total_recovered,Total Recovered,105
2020-03-19,Germany,active_cases,Active Cases,12194
2020-03-19,Germany,serious_critical,Serious Critical,2
2020-03-19,Germany,tot_cases_1m_pop,Total Cases per 1m Population,147
2020-03-19,Germany,death_rate,Death Rate,0.23
2020-03-19,United States,total_cases,Total Cases,9269
2020-03-19,United States,new_cases,New Cases,2858
2020-03-19,United States,total_deaths,Total Deaths,151
2020-03-19,United States,new_deaths,NA,42
2020-03-19,United States,total_recovered,Total Recovered,106
2020-03-19,United States,active_cases,Active Cases,9012
2020-03-19,United States,serious_critical,Serious Critical,64
2020-03-19,United States,tot_cases_1m_pop,Total Cases per 1m Population,28
2020-03-19,United States,death_rate,Death Rate,1.63
2020-03-19,France,total_cases,Total Cases,9134
2020-03-19,France,new_cases,New Cases,1404
2020-03-19,France,total_deaths,Total Deaths,264
2020-03-19,France,new_deaths,NA,89
2020-03-19,France,total_recovered,Total Recovered,602
2020-03-19,France,active_cases,Active Cases,8268
2020-03-19,France,serious_critical,Serious Critical,931
2020-03-19,France,tot_cases_1m_pop,Total Cases per 1m Population,140
2020-03-19,France,death_rate,Death Rate,2.89
2020-03-19,South Korea,total_cases,Total Cases,8413
2020-03-19,South Korea,new_cases,New Cases,93
2020-03-19,South Korea,total_deaths,Total Deaths,84
2020-03-19,South Korea,new_deaths,NA,3
2020-03-19,South Korea,total_recovered,Total Recovered,1540
2020-03-19,South Korea,active_cases,Active Cases,6789
2020-03-19,South Korea,serious_critical,Serious Critical,59
2020-03-19,South Korea,tot_cases_1m_pop,Total Cases per 1m Population,164
2020-03-19,South Korea,death_rate,Death Rate,1
2020-03-19,Switzerland,total_cases,Total Cases,3115
2020-03-19,Switzerland,new_cases,New Cases,373
2020-03-19,Switzerland,total_deaths,Total Deaths,33
