tstamp,country,observation,obs_ord,count
2020-04-02,United States,total_cases,Total Cases,209105
2020-04-02,United States,new_cases,New Cases,20575
2020-04-02,United States,total_deaths,Total Deaths,4658
2020-04-02,United States,new_deaths,NA,605
2020-04-02,United States,total_recovered,Total Recovered,8805
2020-04-02,United States,active_cases,Active Cases,195642
2020-04-02,United States,serious_critical,Serious Critical,4946
2020-04-02,United States,tot_cases_1m_pop,Total Cases per 1m Population,632
2020-04-02,United States,deaths_1m_pop,NA,14
2020-04-02,United States,reported1st_case,NA,NA
2020-04-02,United States,death_rate,Death Rate,2.23
2020-04-02,Italy,total_cases,Total Cases,110574
2020-04-02,Italy,new_cases,New Cases,4782
2020-04-02,Italy,total_deaths,Total Deaths,13155
2020-04-02,Italy,new_deaths,NA,727
2020-04-02,Italy,total_recovered,Total Recovered,16847
2020-04-02,Italy,active_cases,Active Cases,80572
2020-04-02,Italy,serious_critical,Serious Critical,4035
2020-04-02,Italy,tot_cases_1m_pop,Total Cases per 1m Population,1829
2020-04-02,Italy,deaths_1m_pop,NA,218
2020-04-02,Italy,reported1st_case,NA,NA
2020-04-02,Italy,death_rate,Death Rate,11.9
2020-04-02,Spain,total_cases,Total Cases,102179
2020-04-02,Spain,new_cases,New Cases,6256
2020-04-02,Spain,total_deaths,Total Deaths,9131
2020-04-02,Spain,new_deaths,NA,667
2020-04-02,Spain,total_recovered,Total Recovered,22647
2020-04-02,Spain,active_cases,Active Cases,70401
2020-04-02,Spain,serious_critical,Serious Critical,5872
2020-04-02,Spain,tot_cases_1m_pop,Total Cases per 1m Population,2185
2020-04-02,Spain,deaths_1m_pop,NA,195
2020-04-02,Spain,reported1st_case,NA,NA
2020-04-02,Spain,death_rate,Death Rate,8.94
2020-04-02,Germany,total_cases,Total Cases,77779
2020-04-02,Germany,new_cases,New Cases,5971
2020-04-02,Germany,total_deaths,Total Deaths,909
2020-04-02,Germany,new_deaths,NA,134
2020-04-02,Germany,total_recovered,Total Recovered,18700
2020-04-02,Germany,active_cases,Active Cases,58170
2020-04-02,Germany,serious_critical,Serious Critical,3408
2020-04-02,Germany,tot_cases_1m_pop,Total Cases per 1m Population,928
2020-04-02,Germany,deaths_1m_pop,NA,11
2020-04-02,Germany,reported1st_case,NA,NA
2020-04-02,Germany,death_rate,Death Rate,1.17
2020-04-02,France,total_cases,Total Cases,56989
2020-04-02,France,new_cases,New Cases,4861
2020-04-02,France,total_deaths,Total Deaths,4032
2020-04-02,France,new_deaths,NA,509
2020-04-02,France,total_recovered,Total Recovered,10934
2020-04-02,France,active_cases,Active Cases,42023
2020-04-02,France,serious_critical,Serious Critical,5565
2020-04-02,France,tot_cases_1m_pop,Total Cases per 1m Population,873
2020-04-02,France,deaths_1m_pop,NA,62
2020-04-02,France,reported1st_case,NA,NA
2020-04-02,France,death_rate,Death Rate,7.08
2020-04-02,Iran,total_cases,Total Cases,47593
2020-04-02,Iran,new_cases,New Cases,2988
2020-04-02,Iran,total_deaths,Total Deaths,3036
