tstamp,country,observation,obs_ord,count
2020-04-01,United States,total_cases,Total Cases,180789
2020-04-01,United States,new_cases,New Cases,17001
2020-04-01,United States,total_deaths,Total Deaths,3580
2020-04-01,United States,new_deaths,NA,439
2020-04-01,United States,total_recovered,Total Recovered,6262
2020-04-01,United States,active_cases,Active Cases,170947
2020-04-01,United States,serious_critical,Serious Critical,3981
2020-04-01,United States,tot_cases_1m_pop,Total Cases per 1m Population,546
2020-04-01,United States,deaths_1m_pop,NA,11
2020-04-01,United States,reported1st_case,NA,NA
2020-04-01,United States,death_rate,Death Rate,1.98
2020-04-01,Italy,total_cases,Total Cases,105792
2020-04-01,Italy,new_cases,New Cases,4053
2020-04-01,Italy,total_deaths,Total Deaths,12428
2020-04-01,Italy,new_deaths,NA,837
2020-04-01,Italy,total_recovered,Total Recovered,15729
2020-04-01,Italy,active_cases,Active Cases,77635
2020-04-01,Italy,serious_critical,Serious Critical,4023
2020-04-01,Italy,tot_cases_1m_pop,Total Cases per 1m Population,1750
2020-04-01,Italy,deaths_1m_pop,NA,206
2020-04-01,Italy,reported1st_case,NA,NA
2020-04-01,Italy,death_rate,Death Rate,11.75
2020-04-01,Spain,total_cases,Total Cases,94417
2020-04-01,Spain,new_cases,New Cases,6461
2020-04-01,Spain,total_deaths,Total Deaths,8269
2020-04-01,Spain,new_deaths,NA,553
2020-04-01,Spain,total_recovered,Total Recovered,19259
2020-04-01,Spain,active_cases,Active Cases,66889
2020-04-01,Spain,serious_critical,Serious Critical,5607
2020-04-01,Spain,tot_cases_1m_pop,Total Cases per 1m Population,2019
2020-04-01,Spain,deaths_1m_pop,NA,177
2020-04-01,Spain,reported1st_case,NA,NA
2020-04-01,Spain,death_rate,Death Rate,8.76
2020-04-01,Germany,total_cases,Total Cases,70985
2020-04-01,Germany,new_cases,New Cases,4100
2020-04-01,Germany,total_deaths,Total Deaths,682
2020-04-01,Germany,new_deaths,NA,37
2020-04-01,Germany,total_recovered,Total Recovered,15824
2020-04-01,Germany,active_cases,Active Cases,54479
2020-04-01,Germany,serious_critical,Serious Critical,1979
2020-04-01,Germany,tot_cases_1m_pop,Total Cases per 1m Population,847
2020-04-01,Germany,deaths_1m_pop,NA,8
2020-04-01,Germany,reported1st_case,NA,NA
2020-04-01,Germany,death_rate,Death Rate,0.96
2020-04-01,France,total_cases,Total Cases,52128
2020-04-01,France,new_cases,New Cases,7578
2020-04-01,France,total_deaths,Total Deaths,3523
2020-04-01,France,new_deaths,NA,499
2020-04-01,France,total_recovered,Total Recovered,9444
2020-04-01,France,active_cases,Active Cases,39161
2020-04-01,France,serious_critical,Serious Critical,5565
2020-04-01,France,tot_cases_1m_pop,Total Cases per 1m Population,799
2020-04-01,France,deaths_1m_pop,NA,54
2020-04-01,France,reported1st_case,NA,NA
2020-04-01,France,death_rate,Death Rate,6.76
2020-04-01,Iran,total_cases,Total Cases,44605
2020-04-01,Iran,new_cases,New Cases,3110
2020-04-01,Iran,total_deaths,Total Deaths,2898
2020-04-01,Iran,new_deaths,NA,141
2020-04-01,Iran,total_recovered,Total Recovered,14656
2020-04-01,Iran,active_cases,Active Cases,27051
2020-04-01,Iran,serious_critical,Serious Critical,3703
2020-04-01,Iran,tot_cases_1m_pop,Total Cases per 1m Population,531
2020-04-01,Iran,deaths_1m_pop,NA,35
2020-04-01,Iran,reported1st_case,NA,NA
2020-04-01,Iran,death_rate,Death Rate,6.5
2020-04-01,UK,total_cases,Total Cases,25150
2020-04-01,UK,new_cases,New Cases,3009
2020-04-01,UK,total_deaths,Total Deaths,1789
2020-04-01,UK,new_deaths,NA,381
2020-04-01,UK,total_recovered,Total Recovered,135
2020-04-01,UK,active_cases,Active Cases,23226
2020-04-01,UK,serious_critical,Serious Critical,163
2020-04-01,UK,tot_cases_1m_pop,Total Cases per 1m Population,370
2020-04-01,UK,deaths_1m_pop,NA,26
2020-04-01,UK,reported1st_case,NA,NA
2020-04-01,UK,death_rate,Death Rate,7.11
2020-04-01,Switzerland,total_cases,Total Cases,16605
2020-04-01,Switzerland,new_cases,New Cases,683
2020-04-01,Switzerland,total_deaths,Total Deaths,433
2020-04-01,Switzerland,new_deaths,NA,74
2020-04-01,Switzerland,total_recovered,Total Recovered,1823
2020-04-01,Switzerland,active_cases,Active Cases,14349
2020-04-01,Switzerland,serious_critical,Serious Critical,301
2020-04-01,Switzerland,tot_cases_1m_pop,Total Cases per 1m Population,1919
2020-04-01,Switzerland,deaths_1m_pop,NA,50
2020-04-01,Switzerland,reported1st_case,NA,NA
2020-04-01,Switzerland,death_rate,Death Rate,2.61
2020-04-01,Turkey,total_cases,Total Cases,13531
2020-04-01,Turkey,new_cases,New Cases,2704
2020-04-01,Turkey,total_deaths,Total Deaths,214
2020-04-01,Turkey,new_deaths,NA,46
2020-04-01,Turkey,total_recovered,Total Recovered,243
2020-04-01,Turkey,active_cases,Active Cases,13074
2020-04-01,Turkey,serious_critical,Serious Critical,622
2020-04-01,Turkey,tot_cases_1m_pop,Total Cases per 1m Population,160
2020-04-01,Turkey,deaths_1m_pop,NA,3
2020-04-01,Turkey,reported1st_case,NA,NA
2020-04-01,Turkey,death_rate,Death Rate,1.58
2020-04-01,Belgium,total_cases,Total Cases,12775
2020-04-01,Belgium,new_cases,New Cases,876
2020-04-01,Belgium,total_deaths,Total Deaths,705
2020-04-01,Belgium,new_deaths,NA,192
2020-04-01,Belgium,total_recovered,Total Recovered,1696
2020-04-01,Belgium,active_cases,Active Cases,10374
2020-04-01,Belgium,serious_critical,Serious Critical,1021
2020-04-01,Belgium,tot_cases_1m_pop,Total Cases per 1m Population,1102
2020-04-01,Belgium,deaths_1m_pop,NA,61
2020-04-01,Belgium,reported1st_case,NA,NA
2020-04-01,Belgium,death_rate,Death Rate,5.52
2020-04-01,Netherlands,total_cases,Total Cases,12595
2020-04-01,Netherlands,new_cases,New Cases,845
2020-04-01,Netherlands,total_deaths,Total Deaths,1039
2020-04-01,Netherlands,new_deaths,NA,175
2020-04-01,Netherlands,total_recovered,Total Recovered,250
2020-04-01,Netherlands,active_cases,Active Cases,11306
2020-04-01,Netherlands,serious_critical,Serious Critical,1053
2020-04-01,Netherlands,tot_cases_1m_pop,Total Cases per 1m Population,735
2020-04-01,Netherlands,deaths_1m_pop,NA,61
2020-04-01,Netherlands,reported1st_case,NA,NA
2020-04-01,Netherlands,death_rate,Death Rate,8.25
2020-04-01,Austria,total_cases,Total Cases,10122
2020-04-01,Austria,new_cases,New Cases,504
2020-04-01,Austria,total_deaths,Total Deaths,128
2020-04-01,Austria,new_deaths,NA,20
2020-04-01,Austria,total_recovered,Total Recovered,1095
2020-04-01,Austria,active_cases,Active Cases,8899
2020-04-01,Austria,serious_critical,Serious Critical,198
2020-04-01,Austria,tot_cases_1m_pop,Total Cases per 1m Population,1124
2020-04-01,Austria,deaths_1m_pop,NA,14
2020-04-01,Austria,reported1st_case,NA,NA
2020-04-01,Austria,death_rate,Death Rate,1.26
2020-04-01,South Korea,total_cases,Total Cases,9786
2020-04-01,South Korea,new_cases,New Cases,125
2020-04-01,South Korea,total_deaths,Total Deaths,162
2020-04-01,South Korea,new_deaths,NA,4
2020-04-01,South Korea,total_recovered,Total Recovered,5408
2020-04-01,South Korea,active_cases,Active Cases,4216
2020-04-01,South Korea,serious_critical,Serious Critical,55
2020-04-01,South Korea,tot_cases_1m_pop,Total Cases per 1m Population,191
2020-04-01,South Korea,deaths_1m_pop,NA,3
2020-04-01,South Korea,reported1st_case,NA,NA
2020-04-01,South Korea,death_rate,Death Rate,1.66
2020-04-01,Canada,total_cases,Total Cases,8467
2020-04-01,Canada,new_cases,New Cases,1019
2020-04-01,Canada,total_deaths,Total Deaths,95
2020-04-01,Canada,new_deaths,NA,6
2020-04-01,Canada,total_recovered,Total Recovered,1162
2020-04-01,Canada,active_cases,Active Cases,7210
2020-04-01,Canada,serious_critical,Serious Critical,120
2020-04-01,Canada,tot_cases_1m_pop,Total Cases per 1m Population,224
2020-04-01,Canada,deaths_1m_pop,NA,3
2020-04-01,Canada,reported1st_case,NA,NA
2020-04-01,Canada,death_rate,Death Rate,1.12
2020-04-01,Portugal,total_cases,Total Cases,7443
2020-04-01,Portugal,new_cases,New Cases,1035
2020-04-01,Portugal,total_deaths,Total Deaths,160
2020-04-01,Portugal,new_deaths,NA,20
2020-04-01,Portugal,total_recovered,Total Recovered,43
2020-04-01,Portugal,active_cases,Active Cases,7240
2020-04-01,Portugal,serious_critical,Serious Critical,188
2020-04-01,Portugal,tot_cases_1m_pop,Total Cases per 1m Population,730
2020-04-01,Portugal,deaths_1m_pop,NA,16
2020-04-01,Portugal,reported1st_case,NA,NA
2020-04-01,Portugal,death_rate,Death Rate,2.15
2020-04-01,Israel,total_cases,Total Cases,5358
2020-04-01,Israel,new_cases,New Cases,663
2020-04-01,Israel,total_deaths,Total Deaths,20
2020-04-01,Israel,new_deaths,NA,4
2020-04-01,Israel,total_recovered,Total Recovered,224
2020-04-01,Israel,active_cases,Active Cases,5114
2020-04-01,Israel,serious_critical,Serious Critical,117
2020-04-01,Israel,tot_cases_1m_pop,Total Cases per 1m Population,619
2020-04-01,Israel,deaths_1m_pop,NA,2
2020-04-01,Israel,reported1st_case,NA,NA
2020-04-01,Israel,death_rate,Death Rate,0.37
2020-04-01,Brazil,total_cases,Total Cases,4830
2020-04-01,Brazil,new_cases,New Cases,200
2020-04-01,Brazil,total_deaths,Total Deaths,175
2020-04-01,Brazil,new_deaths,NA,12
2020-04-01,Brazil,total_recovered,Total Recovered,127
2020-04-01,Brazil,active_cases,Active Cases,4528
2020-04-01,Brazil,serious_critical,Serious Critical,296
2020-04-01,Brazil,tot_cases_1m_pop,Total Cases per 1m Population,23
2020-04-01,Brazil,deaths_1m_pop,NA,0.8
2020-04-01,Brazil,reported1st_case,NA,NA
2020-04-01,Brazil,death_rate,Death Rate,3.62
2020-04-01,Norway,total_cases,Total Cases,4635
2020-04-01,Norway,new_cases,New Cases,190
2020-04-01,Norway,total_deaths,Total Deaths,39
2020-04-01,Norway,new_deaths,NA,7
2020-04-01,Norway,total_recovered,Total Recovered,13
2020-04-01,Norway,active_cases,Active Cases,4583
2020-04-01,Norway,serious_critical,Serious Critical,97
2020-04-01,Norway,tot_cases_1m_pop,Total Cases per 1m Population,855
2020-04-01,Norway,deaths_1m_pop,NA,7
