tstamp,country,observation,obs_ord,count
2020-03-30,United States,total_cases,Total Cases,138774
2020-03-30,United States,new_cases,New Cases,15196
2020-03-30,United States,total_deaths,Total Deaths,2438
2020-03-30,United States,new_deaths,NA,218
2020-03-30,United States,total_recovered,Total Recovered,4432
2020-03-30,United States,active_cases,Active Cases,131904
2020-03-30,United States,serious_critical,Serious Critical,2948
2020-03-30,United States,tot_cases_1m_pop,Total Cases per 1m Population,419
2020-03-30,United States,deaths_1m_pop,NA,7
2020-03-30,United States,x1stcase,NA,NA
2020-03-30,United States,death_rate,Death Rate,1.76
2020-03-30,Italy,total_cases,Total Cases,97689
2020-03-30,Italy,new_cases,New Cases,5217
2020-03-30,Italy,total_deaths,Total Deaths,10779
2020-03-30,Italy,new_deaths,NA,756
2020-03-30,Italy,total_recovered,Total Recovered,13030
2020-03-30,Italy,active_cases,Active Cases,73880
2020-03-30,Italy,serious_critical,Serious Critical,3906
2020-03-30,Italy,tot_cases_1m_pop,Total Cases per 1m Population,1616
2020-03-30,Italy,deaths_1m_pop,NA,178
2020-03-30,Italy,x1stcase,NA,NA
2020-03-30,Italy,death_rate,Death Rate,11.03
2020-03-30,Spain,total_cases,Total Cases,78898
2020-03-30,Spain,new_cases,New Cases,5663
2020-03-30,Spain,total_deaths,Total Deaths,6618
2020-03-30,Spain,new_deaths,NA,636
2020-03-30,Spain,total_recovered,Total Recovered,14709
2020-03-30,Spain,active_cases,Active Cases,57571
2020-03-30,Spain,serious_critical,Serious Critical,4165
2020-03-30,Spain,tot_cases_1m_pop,Total Cases per 1m Population,1687
2020-03-30,Spain,deaths_1m_pop,NA,142
2020-03-30,Spain,x1stcase,NA,NA
2020-03-30,Spain,death_rate,Death Rate,8.39
2020-03-30,Germany,total_cases,Total Cases,61164
2020-03-30,Germany,new_cases,New Cases,3469
2020-03-30,Germany,total_deaths,Total Deaths,490
2020-03-30,Germany,new_deaths,NA,57
2020-03-30,Germany,total_recovered,Total Recovered,9211
2020-03-30,Germany,active_cases,Active Cases,51463
2020-03-30,Germany,serious_critical,Serious Critical,1979
2020-03-30,Germany,tot_cases_1m_pop,Total Cases per 1m Population,730
2020-03-30,Germany,deaths_1m_pop,NA,6
2020-03-30,Germany,x1stcase,NA,NA
2020-03-30,Germany,death_rate,Death Rate,0.8
2020-03-30,France,total_cases,Total Cases,40174
2020-03-30,France,new_cases,New Cases,2599
2020-03-30,France,total_deaths,Total Deaths,2606
2020-03-30,France,new_deaths,NA,292
2020-03-30,France,total_recovered,Total Recovered,7202
2020-03-30,France,active_cases,Active Cases,30366
2020-03-30,France,serious_critical,Serious Critical,4632
2020-03-30,France,tot_cases_1m_pop,Total Cases per 1m Population,615
2020-03-30,France,deaths_1m_pop,NA,40
2020-03-30,France,x1stcase,NA,NA
2020-03-30,France,death_rate,Death Rate,6.49
2020-03-30,Iran,total_cases,Total Cases,38309
2020-03-30,Iran,new_cases,New Cases,2901
2020-03-30,Iran,total_deaths,Total Deaths,2640
2020-03-30,Iran,new_deaths,NA,123
2020-03-30,Iran,total_recovered,Total Recovered,12391
2020-03-30,Iran,active_cases,Active Cases,23278
2020-03-30,Iran,serious_critical,Serious Critical,3206
2020-03-30,Iran,tot_cases_1m_pop,Total Cases per 1m Population,456
2020-03-30,Iran,deaths_1m_pop,NA,31
2020-03-30,Iran,x1stcase,NA,NA
2020-03-30,Iran,death_rate,Death Rate,6.89
2020-03-30,UK,total_cases,Total Cases,19522
2020-03-30,UK,new_cases,New Cases,2433
2020-03-30,UK,total_deaths,Total Deaths,1228
2020-03-30,UK,new_deaths,NA,209
2020-03-30,UK,total_recovered,Total Recovered,135
2020-03-30,UK,active_cases,Active Cases,18159
2020-03-30,UK,serious_critical,Serious Critical,163
2020-03-30,UK,tot_cases_1m_pop,Total Cases per 1m Population,288
2020-03-30,UK,deaths_1m_pop,NA,18
2020-03-30,UK,x1stcase,NA,NA
