tstamp,country,observation,obs_ord,count
2020-03-15,Sweden,tot_cases_1m_pop,Total Cases per 1m Population,95.2
2020-03-15,Sweden,death_rate,Death Rate,0.21
2020-03-15,Netherlands,total_cases,Total Cases,959
2020-03-15,Netherlands,new_cases,New Cases,155
2020-03-15,Netherlands,total_deaths,Total Deaths,12
2020-03-15,Netherlands,new_deaths,NA,2
2020-03-15,Netherlands,total_recovered,Total Recovered,2
2020-03-15,Netherlands,active_cases,Active Cases,945
2020-03-15,Netherlands,serious_critical,Serious Critical,45
2020-03-15,Netherlands,tot_cases_1m_pop,Total Cases per 1m Population,56
2020-03-15,Netherlands,death_rate,Death Rate,1.25
2020-03-15,Denmark,total_cases,Total Cases,827
2020-03-15,Denmark,new_cases,New Cases,23
2020-03-15,Denmark,total_deaths,Total Deaths,1
2020-03-15,Denmark,new_deaths,NA,1
2020-03-15,Denmark,total_recovered,Total Recovered,1
2020-03-15,Denmark,active_cases,Active Cases,825
2020-03-15,Denmark,serious_critical,Serious Critical,2
2020-03-15,Denmark,tot_cases_1m_pop,Total Cases per 1m Population,142.8
2020-03-15,Denmark,death_rate,Death Rate,0.12
2020-03-15,Japan,total_cases,Total Cases,804
2020-03-15,Japan,new_cases,New Cases,70
2020-03-15,Japan,total_deaths,Total Deaths,22
2020-03-15,Japan,new_deaths,NA,1
2020-03-15,Japan,total_recovered,Total Recovered,144
2020-03-15,Japan,active_cases,Active Cases,638
2020-03-15,Japan,serious_critical,Serious Critical,35
2020-03-15,Japan,tot_cases_1m_pop,Total Cases per 1m Population,6.4
2020-03-15,Japan,death_rate,Death Rate,2.74
2020-03-15,Belgium,total_cases,Total Cases,689
2020-03-15,Belgium,new_cases,New Cases,130
2020-03-15,Belgium,total_deaths,Total Deaths,4
2020-03-15,Belgium,new_deaths,NA,1
2020-03-15,Belgium,total_recovered,Total Recovered,1
2020-03-15,Belgium,active_cases,Active Cases,684
2020-03-15,Belgium,serious_critical,Serious Critical,24
2020-03-15,Belgium,tot_cases_1m_pop,Total Cases per 1m Population,59.4
2020-03-15,Belgium,death_rate,Death Rate,0.58
2020-03-15,Austria,total_cases,Total Cases,655
2020-03-15,Austria,new_cases,New Cases,151
2020-03-15,Austria,total_deaths,Total Deaths,1
2020-03-15,Austria,new_deaths,NA,NA
2020-03-15,Austria,total_recovered,Total Recovered,6
2020-03-15,Austria,active_cases,Active Cases,648
2020-03-15,Austria,serious_critical,Serious Critical,1
2020-03-15,Austria,tot_cases_1m_pop,Total Cases per 1m Population,72.7
2020-03-15,Austria,death_rate,Death Rate,0.15
2020-03-15,Qatar,total_cases,Total Cases,337
2020-03-15,Qatar,new_cases,New Cases,17
2020-03-15,Qatar,total_deaths,Total Deaths,0
2020-03-15,Qatar,new_deaths,NA,NA
2020-03-15,Qatar,total_recovered,Total Recovered,4
2020-03-15,Qatar,active_cases,Active Cases,333
2020-03-15,Qatar,serious_critical,Serious Critical,NA
2020-03-15,Qatar,tot_cases_1m_pop,Total Cases per 1m Population,117
2020-03-15,Qatar,death_rate,Death Rate,0
2020-03-15,Australia,total_cases,Total Cases,248
2020-03-15,Australia,new_cases,New Cases,49
2020-03-15,Australia,total_deaths,Total Deaths,3
2020-03-15,Australia,new_deaths,NA,NA
2020-03-15,Australia,total_recovered,Total Recovered,27
2020-03-15,Australia,active_cases,Active Cases,218
2020-03-15,Australia,serious_critical,Serious Critical,1
2020-03-15,Australia,tot_cases_1m_pop,Total Cases per 1m Population,9.7
2020-03-15,Australia,death_rate,Death Rate,1.21
2020-03-15,Malaysia,total_cases,Total Cases,238
2020-03-15,Malaysia,new_cases,New Cases,41
2020-03-15,Malaysia,total_deaths,Total Deaths,0
2020-03-15,Malaysia,new_deaths,NA,NA
2020-03-15,Malaysia,total_recovered,Total Recovered,35
2020-03-15,Malaysia,active_cases,Active Cases,203
2020-03-15,Malaysia,serious_critical,Serious Critical,4
2020-03-15,Malaysia,tot_cases_1m_pop,Total Cases per 1m Population,7.4
2020-03-15,Malaysia,death_rate,Death Rate,0
2020-03-15,Greece,total_cases,Total Cases,228
2020-03-15,Greece,new_cases,New Cases,38
2020-03-15,Greece,total_deaths,Total Deaths,3
2020-03-15,Greece,new_deaths,NA,2
2020-03-15,Greece,total_recovered,Total Recovered,8
2020-03-15,Greece,active_cases,Active Cases,217
2020-03-15,Greece,serious_critical,Serious Critical,5
2020-03-15,Greece,tot_cases_1m_pop,Total Cases per 1m Population,21.9
2020-03-15,Greece,death_rate,Death Rate,1.32
2020-03-15,Canada,total_cases,Total Cases,225
2020-03-15,Canada,new_cases,New Cases,27
2020-03-15,Canada,total_deaths,Total Deaths,1
2020-03-15,Canada,new_deaths,NA,NA
2020-03-15,Canada,total_recovered,Total Recovered,11
2020-03-15,Canada,active_cases,Active Cases,213
2020-03-15,Canada,serious_critical,Serious Critical,1
2020-03-15,Canada,tot_cases_1m_pop,Total Cases per 1m Population,6
2020-03-15,Canada,death_rate,Death Rate,0.44
2020-03-15,Finland,total_cases,Total Cases,225
2020-03-15,Finland,new_cases,New Cases,70
2020-03-15,Finland,total_deaths,Total Deaths,0
2020-03-15,Finland,new_deaths,NA,NA
2020-03-15,Finland,total_recovered,Total Recovered,1
2020-03-15,Finland,active_cases,Active Cases,224
2020-03-15,Finland,serious_critical,Serious Critical,NA
2020-03-15,Finland,tot_cases_1m_pop,Total Cases per 1m Population,40.6
2020-03-15,Finland,death_rate,Death Rate,0
2020-03-15,Bahrain,total_cases,Total Cases,212
2020-03-15,Bahrain,new_cases,New Cases,2
2020-03-15,Bahrain,total_deaths,Total Deaths,0
2020-03-15,Bahrain,new_deaths,NA,NA
2020-03-15,Bahrain,total_recovered,Total Recovered,60
2020-03-15,Bahrain,active_cases,Active Cases,152
2020-03-15,Bahrain,serious_critical,Serious Critical,2
2020-03-15,Bahrain,tot_cases_1m_pop,Total Cases per 1m Population,124.6
2020-03-15,Bahrain,death_rate,Death Rate,0
2020-03-15,Singapore,total_cases,Total Cases,212
2020-03-15,Singapore,new_cases,New Cases,12
2020-03-15,Singapore,total_deaths,Total Deaths,0
2020-03-15,Singapore,new_deaths,NA,NA
2020-03-15,Singapore,total_recovered,Total Recovered,105
2020-03-15,Singapore,active_cases,Active Cases,107
2020-03-15,Singapore,serious_critical,Serious Critical,11
2020-03-15,Singapore,tot_cases_1m_pop,Total Cases per 1m Population,36.2
2020-03-15,Singapore,death_rate,Death Rate,0
2020-03-15,Czech Republic,total_cases,Total Cases,189
2020-03-15,Czech Republic,new_cases,New Cases,48
2020-03-15,Czech Republic,total_deaths,Total Deaths,NA
2020-03-15,Czech Republic,new_deaths,NA,NA
2020-03-15,Czech Republic,total_recovered,Total Recovered,NA
2020-03-15,Czech Republic,active_cases,Active Cases,189
2020-03-15,Czech Republic,serious_critical,Serious Critical,2
2020-03-15,Czech Republic,tot_cases_1m_pop,Total Cases per 1m Population,17.6
2020-03-15,Czech Republic,death_rate,Death Rate,NA
2020-03-15,Slovenia,total_cases,Total Cases,181
2020-03-15,Slovenia,new_cases,New Cases,40
2020-03-15,Slovenia,total_deaths,Total Deaths,NA
2020-03-15,Slovenia,new_deaths,NA,1
2020-03-15,Slovenia,total_recovered,Total Recovered,NA
2020-03-15,Slovenia,active_cases,Active Cases,180
2020-03-15,Slovenia,serious_critical,Serious Critical,3
2020-03-15,Slovenia,tot_cases_1m_pop,Total Cases per 1m Population,87.1
