tstamp,country,observation,obs_ord,count
2020-03-21,China,total_cases,Total Cases,80967
2020-03-21,China,new_cases,New Cases,39
2020-03-21,China,total_deaths,Total Deaths,3248
2020-03-21,China,new_deaths,NA,3
2020-03-21,China,total_recovered,Total Recovered,71150
2020-03-21,China,active_cases,Active Cases,6569
2020-03-21,China,serious_critical,Serious Critical,2136
2020-03-21,China,tot_cases_1m_pop,Total Cases per 1m Population,56
2020-03-21,China,death_rate,Death Rate,4.01
2020-03-21,Italy,total_cases,Total Cases,47021
2020-03-21,Italy,new_cases,New Cases,5986
2020-03-21,Italy,total_deaths,Total Deaths,4032
2020-03-21,Italy,new_deaths,NA,627
2020-03-21,Italy,total_recovered,Total Recovered,5129
2020-03-21,Italy,active_cases,Active Cases,37860
2020-03-21,Italy,serious_critical,Serious Critical,2655
2020-03-21,Italy,tot_cases_1m_pop,Total Cases per 1m Population,778
2020-03-21,Italy,death_rate,Death Rate,8.57
2020-03-21,Spain,total_cases,Total Cases,20412
2020-03-21,Spain,new_cases,New Cases,2335
2020-03-21,Spain,total_deaths,Total Deaths,1044
2020-03-21,Spain,new_deaths,NA,213
2020-03-21,Spain,total_recovered,Total Recovered,1588
2020-03-21,Spain,active_cases,Active Cases,17780
2020-03-21,Spain,serious_critical,Serious Critical,939
2020-03-21,Spain,tot_cases_1m_pop,Total Cases per 1m Population,437
2020-03-21,Spain,death_rate,Death Rate,5.11
2020-03-21,Germany,total_cases,Total Cases,19848
2020-03-21,Germany,new_cases,New Cases,4528
2020-03-21,Germany,total_deaths,Total Deaths,67
2020-03-21,Germany,new_deaths,NA,23
2020-03-21,Germany,total_recovered,Total Recovered,180
2020-03-21,Germany,active_cases,Active Cases,19601
2020-03-21,Germany,serious_critical,Serious Critical,2
2020-03-21,Germany,tot_cases_1m_pop,Total Cases per 1m Population,237
2020-03-21,Germany,death_rate,Death Rate,0.34
2020-03-21,Iran,total_cases,Total Cases,19644
2020-03-21,Iran,new_cases,New Cases,1237
2020-03-21,Iran,total_deaths,Total Deaths,1433
2020-03-21,Iran,new_deaths,NA,149
2020-03-21,Iran,total_recovered,Total Recovered,6745
2020-03-21,Iran,active_cases,Active Cases,11466
2020-03-21,Iran,serious_critical,Serious Critical,NA
2020-03-21,Iran,tot_cases_1m_pop,Total Cases per 1m Population,234
2020-03-21,Iran,death_rate,Death Rate,7.29
2020-03-21,United States,total_cases,Total Cases,17729
2020-03-21,United States,new_cases,New Cases,3940
2020-03-21,United States,total_deaths,Total Deaths,230
2020-03-21,United States,new_deaths,NA,23
2020-03-21,United States,total_recovered,Total Recovered,125
2020-03-21,United States,active_cases,Active Cases,17374
2020-03-21,United States,serious_critical,Serious Critical,64
2020-03-21,United States,tot_cases_1m_pop,Total Cases per 1m Population,54
2020-03-21,United States,death_rate,Death Rate,1.3
2020-03-21,France,total_cases,Total Cases,12612
2020-03-21,France,new_cases,New Cases,1617
2020-03-21,France,total_deaths,Total Deaths,450
2020-03-21,France,new_deaths,NA,78
2020-03-21,France,total_recovered,Total Recovered,1295
2020-03-21,France,active_cases,Active Cases,10867
2020-03-21,France,serious_critical,Serious Critical,1122
2020-03-21,France,tot_cases_1m_pop,Total Cases per 1m Population,193
2020-03-21,France,death_rate,Death Rate,3.57
2020-03-21,South Korea,total_cases,Total Cases,8652
2020-03-21,South Korea,new_cases,New Cases,87
2020-03-21,South Korea,total_deaths,Total Deaths,94
2020-03-21,South Korea,new_deaths,NA,3
2020-03-21,South Korea,total_recovered,Total Recovered,2233
2020-03-21,South Korea,active_cases,Active Cases,6325
2020-03-21,South Korea,serious_critical,Serious Critical,59
2020-03-21,South Korea,tot_cases_1m_pop,Total Cases per 1m Population,169
2020-03-21,South Korea,death_rate,Death Rate,1.09
2020-03-21,Switzerland,total_cases,Total Cases,5407
2020-03-21,Switzerland,new_cases,New Cases,1185
2020-03-21,Switzerland,total_deaths,Total Deaths,56
2020-03-21,Switzerland,new_deaths,NA,13
2020-03-21,Switzerland,total_recovered,Total Recovered,15
2020-03-21,Switzerland,active_cases,Active Cases,5336
2020-03-21,Switzerland,serious_critical,Serious Critical,NA
2020-03-21,Switzerland,tot_cases_1m_pop,Total Cases per 1m Population,625
2020-03-21,Switzerland,death_rate,Death Rate,1.04
2020-03-21,UK,total_cases,Total Cases,3983
2020-03-21,UK,new_cases,New Cases,714
2020-03-21,UK,total_deaths,Total Deaths,177
2020-03-21,UK,new_deaths,NA,33
2020-03-21,UK,total_recovered,Total Recovered,65
2020-03-21,UK,active_cases,Active Cases,3741
2020-03-21,UK,serious_critical,Serious Critical,20
2020-03-21,UK,tot_cases_1m_pop,Total Cases per 1m Population,59
2020-03-21,UK,death_rate,Death Rate,4.44
2020-03-21,Netherlands,total_cases,Total Cases,2994
2020-03-21,Netherlands,new_cases,New Cases,534
2020-03-21,Netherlands,total_deaths,Total Deaths,106
2020-03-21,Netherlands,new_deaths,NA,30
2020-03-21,Netherlands,total_recovered,Total Recovered,2
2020-03-21,Netherlands,active_cases,Active Cases,2886
2020-03-21,Netherlands,serious_critical,Serious Critical,210
2020-03-21,Netherlands,tot_cases_1m_pop,Total Cases per 1m Population,175
2020-03-21,Netherlands,death_rate,Death Rate,3.54
2020-03-21,Austria,total_cases,Total Cases,2491
2020-03-21,Austria,new_cases,New Cases,312
2020-03-21,Austria,total_deaths,Total Deaths,6
2020-03-21,Austria,new_deaths,NA,NA
2020-03-21,Austria,total_recovered,Total Recovered,9
2020-03-21,Austria,active_cases,Active Cases,2476
2020-03-21,Austria,serious_critical,Serious Critical,14
2020-03-21,Austria,tot_cases_1m_pop,Total Cases per 1m Population,277
2020-03-21,Austria,death_rate,Death Rate,0.24
2020-03-21,Belgium,total_cases,Total Cases,2257
2020-03-21,Belgium,new_cases,New Cases,462
2020-03-21,Belgium,total_deaths,Total Deaths,37
2020-03-21,Belgium,new_deaths,NA,16
2020-03-21,Belgium,total_recovered,Total Recovered,204
2020-03-21,Belgium,active_cases,Active Cases,2016
2020-03-21,Belgium,serious_critical,Serious Critical,164
